player,gender,finish,origin,team,pair_id
Johnny Bananas,M,Winner in A Walk in the Clouds,w:c:mtvrealworld:The Real World: Key West,,
Johnny Reilly,M,Runner-Up in A Walk in the Clouds,w:c:mtvrealworld:The Real World: Portland,,
Zach Nichols,M,Third Place in A Walk in the Clouds,w:c:mtvrealworld:The Real World: San Diego (2011),,
CT Tamburello,M,"Eliminated in The $350,000 Pyramid",w:c:mtvrealworld:The Real World: Paris,,
Leroy Garrett,M,"Eliminated in The $350,000 Pyramid",w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Cohutta Grindstaff,M,Eliminated in Best Friends for Never,w:c:mtvrealworld:The Real World: Sydney,,
Preston Roberson-Charles,M,"Eliminated in Strike a Pose, There's Something to It",w:c:mtvrealworld:The Real World: New Orleans (2010),,
Jordan Wiseley,M,Eliminated in Pride Before the Wall,w:c:mtvrealworld:The Real World: Portland,,
Brandon Swift,M,Eliminated in Not So Trivial Pursuits,w:c:mtvrealworld:The Real World: St. Thomas,,
Isaac Stout,M,Eliminated in Stripes,w:c:mtvrealworld:The Real World: Sydney,,
Brandon Nelson,M,Eliminated in Inadequate,,,
Frank Fox,M,Medically Disqualified in You Be Illin',w:c:mtvrealworld:The Real World: San Diego (2011),,
Dustin Zito,M,Eliminated in Love in the Fast Lane,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Chet Cannon,M,Quit in Live Free or Die,w:c:mtvrealworld:The Real World: Brooklyn,,
Laurel Stucky,F,Winner in A Walk in the Clouds,,,
Nany González,F,Runner-Up in A Walk in the Clouds,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Devyn Simone,F,Third Place in A Walk in the Clouds,w:c:mtvrealworld:The Real World: Brooklyn,,
Theresa Jones,F,"Eliminated in The $350,000 Pyramid",,,
Cara Maria Sorbello,F,"Eliminated in The $350,000 Pyramid",,,
Jessica McCain,F,Eliminated in Best Friends for Never,w:c:mtvrealworld:The Real World: Portland,,
Aneesa Ferreira,F,"Eliminated in Strike a Pose, There's Something to It",w:c:mtvrealworld:The Real World: Chicago,,
Jonna Mannion,F,Eliminated in Pride Before the Wall,w:c:mtvrealworld:The Real World: Cancun,,
Camila Nakagawa,F,Eliminated in Not So Trivial Pursuits,,,
Jasmine Reynaud,F,Eliminated in Stripes,w:c:mtvrealworld:The Real World: Cancun,,
LaToya Jackson,F,Eliminated in Inadequate,w:c:mtvrealworld:The Real World: St. Thomas,,
Nia Moore,F,Eliminated in You Be Illin',w:c:mtvrealworld:The Real World: Portland,,
Emilee Fitzpatrick,F,Eliminated in Love in the Fast Lane,w:c:mtvrealworld:The Real World: Cancun,,
Jemmye Carroll,F,Eliminated in Live Free or Die,w:c:mtvrealworld:The Real World: New Orleans (2010),,
