episode,challenge,format,role,winner
1,Out on a Ledge,individual,prize,Chet Cannon
1,Out on a Ledge,individual,safety,Frank Sweeney
1,,individual,prize,Jemmye Carroll
2,Auto Body Rally,individual,prize,Jonna Mannion
2,Auto Body Rally,individual,safety,Emilee Fitzpatrick
2,,individual,prize,Frank Sweeney
3,,individual,prize,Cara Maria Sorbello
4,Bounce Out,individual,prize,LaToya Jackson
4,Bounce Out,individual,safety,Cara Maria Sorbello
4,,individual,prize,Zach Nichols
5,Piggy Back,individual,prize,Laurel Stucky
5,Piggy Back,individual,safety,Jasmine Reynaud
5,,individual,prize,Isaac Stout
6,Smarty Pants,individual,prize,Brandon Swift
6,Smarty Pants,individual,safety,Jordan Wiseley
6,,individual,prize,Theresa Jones
6,,individual,safety,Camila Nakagawa
7,Sausage Party,individual,prize,Aneesa Ferreira
7,Sausage Party,individual,safety,Jonna Mannion
7,,individual,prize,Johnny Bananas
7,,individual,safety,Jordan Wiseley
8,Hold That Pose,individual,prize,Preston Roberson-Charles
8,Hold That Pose,individual,safety,Cohutta Grindstaff
8,,individual,prize,Laurel Stucky
9,Dug Out,individual,prize,Jessica McCain
9,Dug Out,individual,safety,Cara Maria Sorbello
9,,individual,prize,Cohutta Grindstaff
9,,individual,safety,Leroy Garrett
10/11,Crossover,individual,prize,CT Tamburello
10/11,Crossover,individual,safety,Leroy Garrett
10/11,,individual,prize,Laurel Stucky
