player,gender,finish,origin,team,pair_id
Jordan Wiseley,M,Winners in The Greatest Love of All,w:c:mtvrealworld:The Real World: Portland,,row_002
Sarah Rice,F,Winners in The Greatest Love of All,w:c:mtvrealworld:The Real World: Brooklyn,,row_002
Leroy Garrett,M,Runners-Up in The Greatest Love of All,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_003
Theresa Jones,F,Runners-Up in The Greatest Love of All,,,row_003
Jay Mitchell,M,Third Place in The Greatest Love of All,w:c:mtvrealworld:Real World: Ex-Plosion,,row_004
Jenna Compono,F,Third Place in The Greatest Love of All,w:c:mtvrealworld:Real World: Ex-Plosion,,row_004
Johnny Bananas,M,"Eliminated in Bye Bye, Love",w:c:mtvrealworld:The Real World: Key West,,row_005
Nany González,F,"Eliminated in Bye Bye, Love",w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_005
Nia Moore,F,"Disqualified in Bye Bye, Love",w:c:mtvrealworld:The Real World: Portland,,
Wes Bergmann,M,Eliminated in Lovers in the Dark,w:c:mtvrealworld:The Real World: Austin,,
Zach Nichols,M,Eliminated in You've Lost That Loving Feeling,w:c:mtvrealworld:The Real World: San Diego (2011),,row_008
Jonna Mannion,F,Eliminated in You've Lost That Loving Feeling,w:c:mtvrealworld:The Real World: Cancun,,row_008
Johnny Reilly,M,Eliminated in That's the Way Love Goes,w:c:mtvrealworld:The Real World: Portland,,row_009
Averey Tressler,F,Eliminated in That's the Way Love Goes,w:c:mtvrealworld:The Real World: Portland,,row_009
Adam Kuhn,M,Eliminated in That's the Way Love Goes,,,row_010
Brittany Baldi,F,Eliminated in That's the Way Love Goes,,,row_010
Ryan Knight,M,Eliminated in Crazy Stupid Love,w:c:mtvrealworld:The Real World: New Orleans (2010),,row_011
Jemmye Carroll,F,Eliminated in Crazy Stupid Love,w:c:mtvrealworld:The Real World: New Orleans (2010),,row_011
John Jacobs,M,Eliminated in Love Sick,,,row_012
Simone Kelly,F,Eliminated in Love Sick,,,row_012
CT Tamburello,M,Medically Disqualified in Love Sick,w:c:mtvrealworld:The Real World: Paris,,row_013
Diem Brown,F,Medically Disqualified in Love Sick,Real World/Road Rules Challenge: Fresh Meat,,row_013
Thomas Buell,M,Eliminated in I Will Always Hate You,w:c:mtvrealworld:Real World: Ex-Plosion,,row_014
Hailey Chivers,F,Eliminated in I Will Always Hate You,w:c:mtvrealworld:Real World: Ex-Plosion,,row_014
Dustin Zito,M,Eliminated in Where Is the Love?,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_015
Jessica McCain,F,Eliminated in Where Is the Love?,w:c:mtvrealworld:The Real World: Portland,,row_015
