season_id,episode,challenge,format,role,winner
s26_battle_of_the_exes_ii,1,I Got You Babe,pair,prize,Theresa Jones
s26_battle_of_the_exes_ii,1,I Got You Babe,pair,prize,Wes Bergmann
s26_battle_of_the_exes_ii,2,Rounding the Bases,pair,prize,Johnny Bananas
s26_battle_of_the_exes_ii,2,Rounding the Bases,pair,prize,Nany González
s26_battle_of_the_exes_ii,3,"On Again, Off Again",pair,prize,Jordan Wiseley
s26_battle_of_the_exes_ii,3,"On Again, Off Again",pair,prize,Sarah Rice
s26_battle_of_the_exes_ii,4,The Brush Off,pair,prize,Jonna Mannion
s26_battle_of_the_exes_ii,4,The Brush Off,pair,prize,Zach Nichols
s26_battle_of_the_exes_ii,5,Open Arms,pair,prize,Theresa Jones
s26_battle_of_the_exes_ii,5,Open Arms,pair,prize,Wes Bergmann
s26_battle_of_the_exes_ii,6/7,Don't Forget About Me,pair,prize,Theresa Jones
s26_battle_of_the_exes_ii,6/7,Don't Forget About Me,pair,prize,Wes Bergmann
s26_battle_of_the_exes_ii,7,Are You the One?,pair,prize,Jay Mitchell
s26_battle_of_the_exes_ii,7,Are You the One?,pair,prize,Jenna Compono
s26_battle_of_the_exes_ii,8,Speed Dating,pair,prize,Leroy Garrett
s26_battle_of_the_exes_ii,8,Speed Dating,pair,prize,Nia Moore
s26_battle_of_the_exes_ii,9/10,Wrecking Ball,pair,prize,Jordan Wiseley
s26_battle_of_the_exes_ii,9/10,Wrecking Ball,pair,prize,Sarah Rice
s26_battle_of_the_exes_ii,10/11,Don't Let Me Down,pair,prize,Jordan Wiseley
s26_battle_of_the_exes_ii,10/11,Don't Let Me Down,pair,prize,Sarah Rice
