episode,gender,game,winner,loser
1,,Pole Position,Adam Kuhn,Dustin Zito
1,,Pole Position,Adam Kuhn,Jessica McCain
1,,Pole Position,Brittany Baldi,Dustin Zito
1,,Pole Position,Brittany Baldi,Jessica McCain
2,,Banded Together,Averey Tressler,Hailey Chivers
2,,Banded Together,Averey Tressler,Thomas Buell
2,,Banded Together,Johnny Reilly,Hailey Chivers
2,,Banded Together,Johnny Reilly,Thomas Buell
3,,"He Said, She Said",Adam Kuhn,John Jacobs
3,,"He Said, She Said",Adam Kuhn,Simone Kelly
3,,"He Said, She Said",Brittany Baldi,John Jacobs
3,,"He Said, She Said",Brittany Baldi,Simone Kelly
4,,Breaking Up,Adam Kuhn,Jemmye Carroll
4,,Breaking Up,Adam Kuhn,Ryan Knight
4,,Breaking Up,Brittany Baldi,Jemmye Carroll
4,,Breaking Up,Brittany Baldi,Ryan Knight
5,,Strung Out,Leroy Garrett,Johnny Bananas
5,,Strung Out,Leroy Garrett,Nany González
5,,Strung Out,Nia Moore,Johnny Bananas
5,,Strung Out,Nia Moore,Nany González
6/7,,Stacking Up,Averey Tressler,Adam Kuhn
6/7,,Stacking Up,Averey Tressler,Brittany Baldi
6/7,,Stacking Up,Johnny Reilly,Adam Kuhn
6/7,,Stacking Up,Johnny Reilly,Brittany Baldi
7,,Hooking Up,Leroy Garrett,Averey Tressler
7,,Hooking Up,Leroy Garrett,Johnny Reilly
7,,Hooking Up,Nia Moore,Averey Tressler
7,,Hooking Up,Nia Moore,Johnny Reilly
8,,Hammer It Home,Jordan Wiseley,Jonna Mannion
8,,Hammer It Home,Jordan Wiseley,Zach Nichols
8,,Hammer It Home,Sarah Rice,Jonna Mannion
8,,Hammer It Home,Sarah Rice,Zach Nichols
9/10,,Hall Brawl,Leroy Garrett,Theresa Jones
9/10,,Hall Brawl,Leroy Garrett,Wes Bergmann
9/10,,Hall Brawl,Nia Moore,Theresa Jones
9/10,,Hall Brawl,Nia Moore,Wes Bergmann
10/11,,X Battle,Leroy Garrett,Johnny Bananas
10/11,,X Battle,Leroy Garrett,Nany González
10/11,,X Battle,Theresa Jones,Johnny Bananas
10/11,,X Battle,Theresa Jones,Nany González
