player,gender,finish,origin,team,pair_id
Cara Maria Sorbello,,Winners in Family Matters,,,row_002
Jamie Banks,,Winners in Family Matters,,,row_002
Cory Wharton,,Runners-Up in Family Matters,w:c:mtvrealworld:Real World: Ex-Plosion,,row_003
Mitch Reid,,Runners-Up in Family Matters,,,row_003
Jenna Compono,,Third Place in Family Matters,w:c:mtvrealworld:Real World: Ex-Plosion,,row_004
Brianna Julig,,Third Place in Family Matters,,,row_004
Aneesa Ferreira,,Eliminated in Tear Down This Wall,w:c:mtvrealworld:The Real World: Chicago,,row_005
Rianna Polin,,Eliminated in Tear Down This Wall,,,row_005
Johnny Bananas,,Eliminated in Out for Blood,w:c:mtvrealworld:The Real World: Key West,,row_006
Vince Gliatta,,Eliminated in Out for Blood,,,row_006
Abram Boise,,Eliminated in Blood Versus Love,w:c:roadrules:Road Rules: South Pacific,,row_007
Mike Boise,,Eliminated in Blood Versus Love,,,row_007
KellyAnne Judd,,Eliminated in Blood Is Thicker Than Mud,w:c:mtvrealworld:The Real World: Sydney,,row_008
Anthony Cuomo,,Eliminated in Blood Is Thicker Than Mud,,,row_008
Thomas Buell,,Eliminated in Blood Brothers,w:c:mtvrealworld:Real World: Ex-Plosion,,row_009
Stephen Buell,,Eliminated in Blood Brothers,,,row_009
Nany González,,Eliminated in Dirty Little Secret,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_010
Nicole Ramos,,Eliminated in Dirty Little Secret,,,row_010
Dario Medrano,,Eliminated in A House Divided,,,row_011
Raphy Medrano,,Eliminated in A House Divided,,,row_011
Tony Raines,,Medically Disqualified in #Corneesa,w:c:mtvrealworld:Real World: Skeletons,,row_012
Shane Raines,,Medically Disqualified in #Corneesa,,,row_012
Camila Nakagawa,,Eliminated in #Corneesa,,,row_013
Larissa Nakagawa,,Eliminated in #Corneesa,,,row_013
Leroy Garrett,,Medically Disqualified in #Corneesa,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_014
Candice Fowler,,Medically Disqualified in #Corneesa,,,row_014
Cohutta Grindstaff,,Eliminated in Bad Blood,w:c:mtvrealworld:The Real World: Sydney,,row_015
Jill Tuttle,,Eliminated in Bad Blood,,,row_015
Christina LeBlanc,,Eliminated in There Will Be Blood,,,row_016
Emily Reese,,Eliminated in There Will Be Blood,,,row_016
