episode,challenge,format,role,winner
1,Water Battle,pair,prize,Cohutta Grindstaff
1,Water Battle,pair,prize,Jill Tuttle
1,Water Battle,pair,safety,Jenna Compono
1,Water Battle,pair,safety,Brianna Julig
2,Family Dinner,pair,prize,Cara Maria Sorbello
2,Family Dinner,pair,prize,Jamie Banks
2,Family Dinner,pair,safety,Cohutta Grindstaff
2,Family Dinner,pair,safety,Jill Tuttle
3/4,Meet Me Halfway,individual,prize,Larissa Nakagawa
3/4,Meet Me Halfway,individual,safety,Jenna Compono
4/5,Air to the Throne,individual,prize,Raphy Medrano
4/5,Air to the Throne,individual,safety,Mitch Reid
6,Family Connection,individual,prize,KellyAnne Judd
6,Family Connection,individual,safety,Nany González
7,Hand Me Down,individual,prize,Mike Boise
7,Hand Me Down,individual,safety,Stephen Buell
8,Too Clingy,individual,prize,Jenna Compono
8,Too Clingy,individual,safety,KellyAnne Judd
9,Air Pockets,individual,prize,Mike Boise
9,Air Pockets,individual,safety,Jamie Banks
10,Weight for Me,pair,prize,Cory Wharton
10,Weight for Me,pair,prize,Mitch Reid
10,Weight for Me,pair,safety,Cara Maria Sorbello
10,Weight for Me,pair,safety,Jamie Banks
11,Truck Crossing,pair,prize,Cory Wharton
11,Truck Crossing,pair,prize,Mitch Reid
11,Truck Crossing,pair,safety,Aneesa Ferreira
11,Truck Crossing,pair,safety,Rianna Polin
