player,gender,finish,origin,team,pair_id
Johnny Bananas,,Winners in Split Decision,w:c:mtvrealworld:The Real World: Brooklyn,,row_002
Sarah Rice,,Winners in Split Decision,,,row_002
Vince Gliatta,,Runners-Up in Split Decision,w:c:mtvrealworld:Real World: Ex-Plosion,,row_003
Jenna Compono,,Runners-Up in Split Decision,,,row_003
Devin Walker,,Third Place in Split Decision,,,row_004
Cheyenne Floyd,,Third Place in Split Decision,,,row_004
Dario Medrano,,Eliminated in Grapes. Wrath.,,,row_005
Nicole Ramos,,Eliminated in Grapes. Wrath.,,,row_005
Wes Bergmann,,Eliminated in Raging Bullies,w:c:mtvrealworld:The Real World: Austin,,row_006
Nany González,,Eliminated in Raging Bullies,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_006
Nate Siebenmark,,Eliminated in Rivals: Civil War,,,row_007
Christina LeBlanc,,Eliminated in Rivals: Civil War,,,row_007
Cory Wharton,,Eliminated in Rivals: Civil War,w:c:mtvrealworld:Real World: Ex-Plosion,,row_008
Ashley Mitchell,,Eliminated in Rivals: Civil War,w:c:mtvrealworld:Real World: Ex-Plosion,,row_008
Jamie Banks,,Eliminated in Let Sleeping Dogs Wake,w:c:mtvrealworld:The Real World: Sydney,,row_009
KellyAnne Judd,,Eliminated in Let Sleeping Dogs Wake,,,row_009
Tony Raines,,Disqualified in Stand by Me,w:c:mtvrealworld:Real World: Skeletons,,row_010
Camila Nakagawa,,Disqualified in Stand by Me,,,row_010
Nelson Thomas,,Eliminated in Camilanator: Salvation,,,row_011
Amanda Garcia,,Eliminated in Camilanator: Salvation,,,row_011
Thomas Buell,,Quit in The Naked Truth,w:c:mtvrealworld:Real World: Ex-Plosion,,row_012
Simone Kelly,,Quit in The Naked Truth,,,row_012
Johnny Reilly,,Eliminated in Where the Ratchet Things Are,w:c:mtvrealworld:The Real World: Portland,,row_013
Jessica McCain,,Eliminated in Where the Ratchet Things Are,w:c:mtvrealworld:The Real World: Portland,,row_013
Brandon Tindel,,Quit in I'm Going Home,,,row_014
Briana LaCuesta,,Quit in I'm Going Home,,,row_014
Leroy Garrett,,Medically Disqualified in The Curse of the Black Skull,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_015
Averey Tressler,,Medically Disqualified in The Curse of the Black Skull,w:c:mtvrealworld:The Real World: Portland,,row_015
