episode,challenge,format,role,winner
1/2,Give Me Some Slack,pair,prize,Jessica McCain
1/2,Give Me Some Slack,pair,prize,Johnny Reilly
1/2,Give Me Some Slack,pair,safety,Brandon Tindel
1/2,Give Me Some Slack,pair,safety,Briana LaCuesta
4/5,Out On a Limb,pair,prize,Jessica McCain
4/5,Out On a Limb,pair,prize,Johnny Reilly
4/5,Out On a Limb,pair,safety,Amanda Garcia
4/5,Out On a Limb,pair,safety,Nelson Thomas
6,Laps of Judgement,pair,prize,Camila Nakagawa
6,Laps of Judgement,pair,prize,Tony Raines
6,Laps of Judgement,pair,safety,Nany González
6,Laps of Judgement,pair,safety,Wes Bergmann
7,Road to Nowhere,pair,prize,Jamie Banks
7,Road to Nowhere,pair,prize,KellyAnne Judd
7,Road to Nowhere,pair,safety,Amanda Garcia
7,Road to Nowhere,pair,safety,Nelson Thomas
8/9,Up All Night,pair,prize,Nany González
8/9,Up All Night,pair,prize,Wes Bergmann
8/9,Up All Night,pair,safety,Cheyenne Floyd
8/9,Up All Night,pair,safety,Devin Walker
10/11,Take It to the Grave,pair,prize,Christina LeBlanc
10/11,Take It to the Grave,pair,prize,Nate Siebenmark
10/11,Take It to the Grave,pair,safety,Ashley Mitchell
10/11,Take It to the Grave,pair,safety,Cory Wharton
11,Catch & Release,pair,prize,Christina LeBlanc
11,Catch & Release,pair,prize,Nate Siebenmark
11,Catch & Release,pair,safety,Cheyenne Floyd
11,Catch & Release,pair,safety,Devin Walker
12,Bridging The Gap,pair,prize,Dario Medrano
12,Bridging The Gap,pair,prize,Nicole Ramos
12,Bridging The Gap,pair,safety,Cheyenne Floyd
12,Bridging The Gap,pair,safety,Devin Walker
