episode,gender,game,winner,loser
1/2,,Back It Up,Jessica McCain,Cheyenne Floyd
1/2,,Back It Up,Jessica McCain,Devin Walker
1/2,,Back It Up,Johnny Reilly,Cheyenne Floyd
1/2,,Back It Up,Johnny Reilly,Devin Walker
4/5,,Weight for Me,Amanda Garcia,Jessica McCain
4/5,,Weight for Me,Amanda Garcia,Johnny Reilly
4/5,,Weight for Me,Nelson Thomas,Jessica McCain
4/5,,Weight for Me,Nelson Thomas,Johnny Reilly
7,,Chill Out,Jamie Banks,Amanda Garcia
7,,Chill Out,Jamie Banks,Nelson Thomas
7,,Chill Out,KellyAnne Judd,Amanda Garcia
7,,Chill Out,KellyAnne Judd,Nelson Thomas
8/9,,Hear Me Out,Nany González,Jamie Banks
8/9,,Hear Me Out,Nany González,KellyAnne Judd
8/9,,Hear Me Out,Wes Bergmann,Jamie Banks
8/9,,Hear Me Out,Wes Bergmann,KellyAnne Judd
10/11,,Spun Out,Christina LeBlanc,Ashley Mitchell
10/11,,Spun Out,Christina LeBlanc,Cory Wharton
10/11,,Spun Out,Nate Siebenmark,Ashley Mitchell
10/11,,Spun Out,Nate Siebenmark,Cory Wharton
11,,Shattered Dreams,Nany González,Christina LeBlanc
11,,Shattered Dreams,Nany González,Nate Siebenmark
11,,Shattered Dreams,Wes Bergmann,Christina LeBlanc
11,,Shattered Dreams,Wes Bergmann,Nate Siebenmark
12,,Tunnel Vision,Dario Medrano,Nany González
12,,Tunnel Vision,Dario Medrano,Wes Bergmann
12,,Tunnel Vision,Nicole Ramos,Nany González
12,,Tunnel Vision,Nicole Ramos,Wes Bergmann
13,,"Don't Wine for Me, Argentina",Johnny Bananas,Dario Medrano
13,,"Don't Wine for Me, Argentina",Johnny Bananas,Nicole Ramos
13,,"Don't Wine for Me, Argentina",Sarah Rice,Dario Medrano
13,,"Don't Wine for Me, Argentina",Sarah Rice,Nicole Ramos
