player,gender,finish,origin,team,pair_id
CT Tamburello,M,Winner in The True Champions,w:c:mtvrealworld:The Real World: Paris,,
Nelson Thomas,M,Runner-Up in The True Champions,,,
Cory Wharton,M,Third Place in The True Champions,w:c:mtvrealworld:Real World: Ex-Plosion,,
Darrell Taylor,M,Eliminated in A River of Endless Light,w:c:roadrules:Road Rules: Campus Crawl,,
Shane Landrum,M,Eliminated in Caged,w:c:roadrules:Road Rules: Campus Crawl,,
Hunter Barfield,M,Eliminated in The Bloodbath,,,
Johnny Bananas,M,Eliminated in Go Your Own Way,w:c:mtvrealworld:The Real World: Key West,,
Dario Medrano,M,Eliminated in A Low Down Dirty Shane,,,
Zach Nichols,M,Eliminated in Achy Breaky Heart,w:c:mtvrealworld:The Real World: San Diego (2011),,
Tony Raines,M,Eliminated in The Mile-High Club,w:c:mtvrealworld:Real World: Skeletons,,
Anthony Bartolotte,M,Eliminated in Four Tickets to Paradise,,,
Theo King-Bradley,M,Quit in Helter Shelter,w:c:mtvrealworld:Real World Seattle: Bad Blood,,
Bruno Bettencourt,M,Eliminated in Skeletal Fracture,w:c:mtvrealworld:Real World: Skeletons,,
Ashley Mitchell,F,Winner in The True Champions,w:c:mtvrealworld:Real World: Ex-Plosion,,
Camila Nakagawa,F,Runner-Up in The True Champions,,,
Nicole Zanatta,F,Third Place in The True Champions,w:c:mtvrealworld:Real World: Skeletons,,
Laurel Stucky,F,Eliminated in Caged,,,
Amanda Garcia,F,Eliminated in The Bloodbath,,,
Jenna Compono,F,Eliminated in The Bloodbath,w:c:mtvrealworld:Real World: Ex-Plosion,,
Cara Maria Sorbello,F,Eliminated in Go Your Own Way,,,
Sylvia Elsrode,F,Eliminated in A Low Down Dirty Shane,w:c:mtvrealworld:Real World: Skeletons,,
Ashley Kelsey,F,Eliminated in Achy Breaky Heart,w:c:mtvrealworld:The Real World: San Diego (2011),,
Kailah Casillas-Bird,F,Eliminated in The Mile-High Club,,,
LaToya Jackson,F,Eliminated in Four Tickets to Paradise,,,
Anika Rashaun,F,Eliminated in Helter Shelter,w:c:mtvrealworld:Real World Seattle: Bad Blood,,
Marie Roda,F,Eliminated in Skeletal Fracture,,,
