episode,challenge,format,role,winner
1/2,The Over Under,individual,prize,Marie Roda
1/2,The Over Under,individual,safety,Kailah Casillas-Bird
3,Shell Shocked,individual,prize,Theo King-Bradley
3,Shell Shocked,individual,safety,Cory Wharton
4,Caged and Confused,individual,prize,Sylvia Elsrode
4,Caged and Confused,individual,safety,LaToya Jackson
5/6,Knockout,individual,prize,Sylvia Elsrode
5/6,Knockout,individual,safety,Kailah Casillas-Bird
5/6,,individual,prize,Shane Landrum
5/6,,individual,safety,Shane Landrum
7,Roll with the Punches,individual,prize,Laurel Stucky
7,Roll with the Punches,individual,safety,Cara Maria Sorbello
7,,individual,prize,Zach Nichols
7,,individual,safety,Darrell Taylor
8,Curry Up,individual,prize,Hunter Barfield
8,Curry Up,individual,safety,Nelson Thomas
8,,individual,prize,Jenna Compono
8,,individual,safety,Sylvia Elsrode
9/10,Fallout,individual,prize,CT Tamburello
9/10,Fallout,pair,safety,Johnny Bananas
9/10,Fallout,pair,safety,Darrell Taylor
9/10,,pair,prize,Cara Maria Sorbello
9/10,,pair,prize,Laurel Stucky
12/13,Caved In,pair,prize,CT Tamburello
12/13,Caved In,pair,prize,Darrell Taylor
