season_id,episode,gender,game,winner,loser
s29_invasion_of_the_champions,1/2,,In the Trenches,Kailah Casillas-Bird,Marie Roda
s29_invasion_of_the_champions,1/2,,,Tony Raines,Bruno Bettencourt
s29_invasion_of_the_champions,3,,Who's Got Balls?,Cory Wharton,Theo King-Bradley
s29_invasion_of_the_champions,3,,,Jenna Compono,Anika Rashaun
s29_invasion_of_the_champions,4,,Thai Rise,Sylvia Elsrode,LaToya Jackson
s29_invasion_of_the_champions,4,,,Nelson Thomas,Anthony Bartolotte
s29_invasion_of_the_champions,5/6,,Tuk Tuk Bang Bang,Sylvia Elsrode,Kailah Casillas-Bird
s29_invasion_of_the_champions,5/6,,,Shane Landrum,Tony Raines
s29_invasion_of_the_champions,7,,Pole Wrestle,Cara Maria Sorbello,Ashley Kelsey
s29_invasion_of_the_champions,7,,,Darrell Taylor,Zach Nichols
s29_invasion_of_the_champions,8,,Bell Ringer,Nelson Thomas,Dario Medrano
s29_invasion_of_the_champions,8,,,Jenna Compono,Sylvia Elsrode
s29_invasion_of_the_champions,9/10,,Balls In,Darrell Taylor,Johnny Bananas
s29_invasion_of_the_champions,9/10,,,Laurel Stucky,Cara Maria Sorbello
s29_invasion_of_the_champions,11/12,,Inside Out,Ashley Mitchell,Amanda Garcia
s29_invasion_of_the_champions,11/12,,,Nelson Thomas,Shane Landrum
s29_invasion_of_the_champions,12/13,,Knot So Fast,CT Tamburello,Darrell Taylor
s29_invasion_of_the_champions,12/13,,,Camila Nakagawa,Laurel Stucky
