player,gender,finish,origin,team,pair_id
Jordan Wiseley,M,Winner in One in a Million,w:c:mtvrealworld:The Real World: Portland,,
Derrick Kosinski,M,Runner-Up in One in a Million,w:c:roadrules:Road Rules: X-Treme,,
CT Tamburello,M,Third Place in One in a Million,w:c:mtvrealworld:The Real World: Paris,,
Hunter Barfield,M,Eliminated in The Sinister Six,,,
Tony Raines,M,Eliminated in The Sinister Six,w:c:mtvrealworld:Real World: Skeletons,,
Johnny Bananas,M,Eliminated in A Million More Reasons,,,
Leroy Garrett,M,Eliminated in A Million More Reasons,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Dario Medrano,M,Eliminated in A Million More Reasons,,,
Nelson Thomas,M,Disqualified in The Heart is a Lonely Hunter,,,
Cory Wharton,M,Eliminated in Guess Who's Coming to Dinner,w:c:mtvrealworld:Real World: Ex-Ploson,,
Ammo Hall,M,Quit in Ankles Aweigh,w:c:mtvrealworld:Real World: Go Big or Go Home,,
Darrell Taylor,M,Eliminated in Road to Redemption,w:c:roadrules:Road Rules: Campus Crawl,,
Derrick Henry,M,Eliminated in Road to Redemption,,,
Devin Walker,M,Eliminated in Road to Redemption,,,
Shane Raines,M,Disqualified in Shots Fired!,,,
Camila Nakagawa,F,Winner in One in a Million,,,
Cara Maria Sorbello,F,Runner-Up in One in a Million,,,
Tori Deal,F,Third Place in One in a Million,,,
Jenna Compono,F,Eliminated in The Sinister Six,w:c:mtvrealworld:Real World: Ex-Ploson,,
Kailah Casillas-Bird,F,Eliminated in The Sinister Six,w:c:mtvrealworld:Real World: Go Big or Go Home,,
Britni Thornton,F,Eliminated in A Million More Reasons,,,
Veronica Portillo,F,Eliminated in A Million More Reasons,w:c:roadrules:Road Rules: Semester at Sea,,
Jemmye Carroll,F,Eliminated in A Million More Reasons,w:c:mtvrealworld:The Real World: New Orleans (2010),,
Aneesa Ferreira,F,Eliminated in A Million More Reasons,w:c:mtvrealworld:The Real World: Chicago,,
Nicole Ramos,F,Eliminated in Guess Who's Coming to Dinner,,,
Marie Roda,F,Eliminated in Guess Who's Coming to Dinner,w:c:mtvrealworld:The Real World: St. Thomas,,
Amanda Garcia,F,Eliminated in Road to Redemption,,,
Briana LaCuesta,F,Eliminated in Road to Redemption,,,
LaToya Jackson,F,Eliminated in Road to Redemption,w:c:mtvrealworld:The Real World: St. Thomas,,
Simone Kelly,F,Disqualified in Shots Fired!,,,
Ashley Mitchell,F,Quit in Thirty Rotten Scoundrels,w:c:mtvrealworld:Real World: Ex-Ploson,,
