episode,challenge,format,role,winner
2/3,Cool Under Fire,individual,prize,Johnny Bananas
2/3,Cool Under Fire,individual,safety,Cory Wharton
2/3,,individual,prize,Camila Nakagawa
2/3,,individual,safety,Briana LaCuesta
3/4,Battle Royale,individual,prize,Kailah Casillas-Bird
3/4,Battle Royale,individual,safety,Jemmye Carroll
3/4,,individual,prize,Nelson Thomas
3/4,,individual,safety,Tony Raines
6/7,Pirates' Treasure,individual,prize,Jordan Wiseley
6/7,Pirates' Treasure,individual,safety,Derrick Kosinski
7/8,Ups and Downs,individual,prize,Aneesa Ferreira
7/8,Ups and Downs,individual,safety,Nicole Ramos
7/8,,individual,prize,Jordan Wiseley
7/8,,individual,safety,Hunter Barfield
8/9,Talk Thirty to Me,individual,prize,Nicole Ramos
8/9,Talk Thirty to Me,individual,safety,Jenna Compono
11/12,Saved by the Bell,individual,prize,Dario Medrano
11/12,Saved by the Bell,individual,safety,Jordan Wiseley
11/12,,individual,prize,Tori Deal
11/12,,individual,safety,Aneesa Ferreira
12/13,,individual,prize,Derrick Kosinski
12/13,,individual,safety,Hunter Barfield
12/13,,individual,prize,Jenna Compono
12/13,,individual,safety,Camila Nakagawa
14,,individual,prize,Tony Raines
14,,individual,safety,Johnny Bananas
