season_id,episode,gender,game,winner,loser
s30_xxx_dirty_30,1,,The Purge,Johnny Bananas,Kailah Casillas-Bird
s30_xxx_dirty_30,2/3,,Balls to the Wall,Cory Wharton,Derrick Henry
s30_xxx_dirty_30,50px|link=Nelson ThomasNelson,,Balls to the Wall,Cory Wharton,Derrick Henry
s30_xxx_dirty_30,50px|link=Cara Maria SorbelloCara Maria,,,Britni Thornton,Briana LaCuesta
s30_xxx_dirty_30,50px|link=Nicole RamosNicole,,,Britni Thornton,Briana LaCuesta
s30_xxx_dirty_30,3/4,,The Great Escape,Kailah Casillas-Bird,Jenna Compono
s30_xxx_dirty_30,50px|link=Ammo HallAmmo,,,Ammo Hall,Tony Raines
s30_xxx_dirty_30,6/7,,Striptease,Jordan Wiseley,Ammo Hall
s30_xxx_dirty_30,7/8,,Deadweight,Kailah Casillas-Bird,Aneesa Ferreira
s30_xxx_dirty_30,50px|link=Cory WhartonCory,,,Hunter Barfield,Cory Wharton
s30_xxx_dirty_30,8/9,,Rampage,Britni Thornton,Nicole Ramos
s30_xxx_dirty_30,11/12,,Web of Lies,Tony Raines,Dario Medrano
s30_xxx_dirty_30,50px|link=Veronica PortilloVeronica,,,Veronica Portillo,Aneesa Ferreira
s30_xxx_dirty_30,50px|link=Leroy GarrettLeroy,,Body Check,Hunter Barfield,Leroy Garrett
s30_xxx_dirty_30,50px|link=Jemmye CarrollJemmye,,,Camila Nakagawa,Jemmye Carroll
s30_xxx_dirty_30,50px|link=Derrick KosinskiDerrick K.,,,Johnny Bananas,Jenna Compono
