season_id,player,gender,finish,origin,team,pair_id
s31_vendettas,Zach Nichols,M,Runner-Up in Vendettas Never Die,w:c:mtvrealworld:The Real World: San Diego (2011),,
s31_vendettas,Kyle Christie,M,Third Place in Vendettas Never Die,,,
s31_vendettas,Leroy Garrett,M,Bottom Four in Vendettas Never Die,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
s31_vendettas,Tony Raines,M,Bottom Four in Vendettas Never Die,w:c:mtvrealworld:Real World: Skeletons,,
s31_vendettas,Brad Fiorenza,M,Eliminated in Czechmate,w:c:mtvrealworld:The Real World: San Diego (2004),,
s31_vendettas,Nelson Thomas,M,Eliminated in Czechmate,,,
s31_vendettas,Devin Walker,M,Eliminated in Czechmate,,,
s31_vendettas,Johnny Bananas,M,Eliminated in Rumor Has It,w:c:mtvrealworld:The Real World: Key West,,
s31_vendettas,Joss Mooney,M,Eliminated in Mercenaries of Mayhem,,,
s31_vendettas,Shane Landrum,M,Eliminated in Pulling the Strings,w:c:roadrules:Road Rules: Campus Crawl,,
s31_vendettas,Victor Arroyo,M,Eliminated in Pulling the Strings,,,
s31_vendettas,Cory Wharton,M,Eliminated in #Banatalie,w:c:mtvrealworld:Real World: Ex-Plosion,,
s31_vendettas,Eddie Williams,M,Quit before The Power of Three,,,
s31_vendettas,Rogan O'Connor,M,Eliminated in When Worlds Collide,,,
s31_vendettas,Cara Maria Sorbello,F,Winner in Vendettas Never Die,,,
s31_vendettas,Kailah Casillas-Bird,F,Fourth Place in Vendettas Never Die,w:c:mtvrealworld:Real World: Go Big or Go Home,,
s31_vendettas,Kam Williams,F,Bottom Four in Vendettas Never Die,,,
s31_vendettas,Nicole Zanatta,F,Bottom Four in Vendettas Never Die,w:c:mtvrealworld:Real World: Skeletons,,
s31_vendettas,Jemmye Carroll,F,Eliminated in Czechmate,w:c:mtvrealworld:The Real World: New Orleans (2010),,
s31_vendettas,Natalie Negrotti,F,"Eliminated in Help Me, Rhonda",,,
s31_vendettas,Britni Thornton,F,"Eliminated in It's Britni, Bitch",,,
s31_vendettas,Kayleigh Morris,F,Quit in Rumor Has It,,,
s31_vendettas,Marie Roda,F,Eliminated in Baskets of Deplorables,w:c:mtvrealworld:The Real World: St. Thomas,,
s31_vendettas,Veronica Portillo,F,Medically Disqualified in Mercenaries of Mayhem,w:c:roadrules:Road Rules: Semester at Sea,,
s31_vendettas,Sylvia Elsrode,F,Medically Disqualified in Pulling the Strings,w:c:mtvrealworld:Real World: Skeletons,,
s31_vendettas,Melissa Reeves,F,Eliminated in Guilty by Association,,,
s31_vendettas,Alicia Wright,F,Eliminated in Pizzagate,,,
s31_vendettas,Nicole Ramos,F,Eliminated in When Worlds Collide,,,
