season_id,episode,challenge,format,role,winner
s31_vendettas,2/3,Who's Got Balls?,individual,prize,Johnny Bananas
s31_vendettas,2/3,Who's Got Balls?,individual,safety,Britni Thornton
s31_vendettas,3/4,Vendettas,individual,prize,Devin Walker
s31_vendettas,3/4,Vendettas,individual,safety,Natalie Negrotti
s31_vendettas,4/5,Food Wars,individual,prize,Marie Roda
s31_vendettas,4/5,Food Wars,individual,safety,Tony Raines
s31_vendettas,6/7,Gasping for Air,individual,prize,Johnny Bananas
s31_vendettas,6/7,Gasping for Air,individual,safety,Kyle Christie
s31_vendettas,7/8,Puppet Master,individual,prize,Kyle Christie
s31_vendettas,7/8,Puppet Master,individual,safety,Nicole Zanatta
s31_vendettas,7/8,,individual,prize,Kam Williams
s31_vendettas,7/8,,individual,safety,Kayleigh Morris
s31_vendettas,8/9,Car Crash,individual,prize,Johnny Bananas
s31_vendettas,8/9,Car Crash,individual,safety,Natalie Negrotti
s31_vendettas,9/10,Kickin' Ass,individual,prize,Kailah Casillas-Bird
s31_vendettas,9/10,Kickin' Ass,individual,safety,Tony Raines
s31_vendettas,11,This Land Is My Land,individual,prize,Natalie Negrotti
s31_vendettas,11,This Land Is My Land,individual,safety,Tony Raines
s31_vendettas,11,,individual,prize,Britni Thornton
s31_vendettas,11,,individual,safety,Cara Maria Sorbello
s31_vendettas,12,Spanish Treasure,individual,prize,Brad Fiorenza
s31_vendettas,12,Spanish Treasure,individual,safety,Tony Raines
s31_vendettas,13,Outside the Box,individual,prize,Kailah Casillas-Bird
s31_vendettas,13,Outside the Box,individual,safety,Tony Raines
s31_vendettas,13,,individual,prize,Brad Fiorenza
s31_vendettas,13,,individual,safety,Kyle Christie
