season_id,episode,gender,game,winner,loser
s31_vendettas,1,,,Joss Mooney,Rogan O'Connor
s31_vendettas,2/3,M,Balls of Fire,Nelson Thomas,Cory Wharton
s31_vendettas,3/4,F,Chain Reaction,Melissa Reeves,Alicia Wright
s31_vendettas,4/5,F,Oil and Water,Sylvia Elsrode,Melissa Reeves
s31_vendettas,6/7,M,Troubled Water,Brad Fiorenza,Victor Arroyo
s31_vendettas,7/8,,Crazy 8,Jordan Wiseley,Shane Landrum
s31_vendettas,7/8,,,Aneesa Ferreira,Veronica Portillo
s31_vendettas,7/8,,,Kam Williams,Tori Deal
s31_vendettas,7/8,,,Derrick Kosinski,Joss Mooney
s31_vendettas,8/9,F,Basket Case,Kailah Casillas-Bird,Marie Roda
s31_vendettas,9/10,M,Not So Bright,Devin Walker,Johnny Bananas
s31_vendettas,11,,Yankin' My Chain,Brad Fiorenza,Frank Fox
s31_vendettas,11,,,Kam Williams,Ashley Mitchell
s31_vendettas,11,,,Laurel Stucky,Britni Thornton
s31_vendettas,12,F,Spanish Torture,Kam Williams,Natalie Negrotti
s31_vendettas,12/13,,,Zach Nichols,Devin Walker
s31_vendettas,12/13,,,Nicole Zanatta,Jemmye Carroll
s31_vendettas,13,M,,Tony Raines,Nelson Thomas
s31_vendettas,13,,Head Banger,Leroy Garrett,Brad Fiorenza
s31_vendettas,11,,,Darrell Taylor,Nelson Thomas
