season_id,episode,challenge,format,role,winner
s32_final_reckoning,2/3,Wreck Yourself,pair,prize,Natalie Negrotti
s32_final_reckoning,2/3,Wreck Yourself,pair,prize,Paulie Calafiore
s32_final_reckoning,2/3,Wreck Yourself,pair,safety,Kam Williams
s32_final_reckoning,2/3,Wreck Yourself,pair,safety,Kayleigh Morris
s32_final_reckoning,6/7,Off the Rails,pair,prize,Derrick Henry
s32_final_reckoning,6/7,Off the Rails,pair,prize,Tori Deal
s32_final_reckoning,6/7,Off the Rails,pair,safety,Joss Mooney
s32_final_reckoning,6/7,Off the Rails,pair,safety,Sylvia Elsrode
s32_final_reckoning,7/8,Dig Deep,pair,prize,Angela Babicz
s32_final_reckoning,7/8,Dig Deep,pair,prize,Faith Stowers
s32_final_reckoning,7/8,Dig Deep,pair,safety,Ashley Mitchell
s32_final_reckoning,7/8,Dig Deep,pair,safety,Hunter Barfield
s32_final_reckoning,8/9,Don't Push Me Around,pair,prize,Da'Vonne Rogers
s32_final_reckoning,8/9,Don't Push Me Around,pair,prize,Jozea Flores
s32_final_reckoning,8/9,Don't Push Me Around,pair,safety,Kam Williams
s32_final_reckoning,8/9,Don't Push Me Around,pair,safety,Kayleigh Morris
s32_final_reckoning,11/12,Sky Bridge,pair,prize,Nelson Thomas
s32_final_reckoning,11/12,Sky Bridge,pair,prize,Shane Landrum
s32_final_reckoning,11/12,Sky Bridge,pair,safety,Brad Fiorenza
s32_final_reckoning,11/12,Sky Bridge,pair,safety,Kyle Christie
s32_final_reckoning,12/13,Caged In,pair,prize,Amanda Garcia
s32_final_reckoning,12/13,Caged In,pair,prize,Zach Nichols
s32_final_reckoning,12/13,Caged In,pair,safety,Da'Vonne Rogers
s32_final_reckoning,12/13,Caged In,pair,safety,Jozea Flores
s32_final_reckoning,50px|link=Cory Wharton 50px|link=Devin WalkerCory & Devin,50px|link=Da'Vonne Rogers 50px|link=Jozea FloresDa'Vonne & Jozea,pair,prize,Amanda Garcia
s32_final_reckoning,50px|link=Cory Wharton 50px|link=Devin WalkerCory & Devin,50px|link=Da'Vonne Rogers 50px|link=Jozea FloresDa'Vonne & Jozea,pair,prize,Zach Nichols
s32_final_reckoning,14/15,What Goes Up Must Come Down,pair,prize,Cara Maria Sorbello
s32_final_reckoning,14/15,What Goes Up Must Come Down,pair,prize,Marie Roda
s32_final_reckoning,14/15,What Goes Up Must Come Down,pair,safety,Nelson Thomas
s32_final_reckoning,14/15,What Goes Up Must Come Down,pair,safety,Shane Landrum
s32_final_reckoning,16/17,Hit List,pair,prize,Johnny Bananas
s32_final_reckoning,16/17,Hit List,pair,prize,Tony Raines
s32_final_reckoning,16/17,Hit List,pair,safety,Joss Mooney
s32_final_reckoning,16/17,Hit List,pair,safety,Sylvia Elsrode
s32_final_reckoning,19,Painfully Wrong,pair,prize,Johnny Bananas
s32_final_reckoning,19,Painfully Wrong,pair,prize,Tony Raines
s32_final_reckoning,19,Painfully Wrong,pair,safety,Natalie Negrotti
s32_final_reckoning,19,Painfully Wrong,pair,safety,Paulie Calafiore
