season_id,episode,gender,game,winner,loser
s32_final_reckoning,1,,Opening Challenge,Amanda Garcia,Britni Thornton
s32_final_reckoning,1,,Opening Challenge,Amanda Garcia,Chuck Mowery
s32_final_reckoning,1,,Opening Challenge,Zach Nichols,Britni Thornton
s32_final_reckoning,1,,Opening Challenge,Zach Nichols,Chuck Mowery
s32_final_reckoning,2/3,,Think Outside the Box,Kam Williams,Natalie Negrotti
s32_final_reckoning,2/3,,Think Outside the Box,Kam Williams,Paulie Calafiore
s32_final_reckoning,2/3,,Think Outside the Box,Kayleigh Morris,Natalie Negrotti
s32_final_reckoning,2/3,,Think Outside the Box,Kayleigh Morris,Paulie Calafiore
s32_final_reckoning,5,,Shark Bait,Brad Fiorenza,CT Tamburello
s32_final_reckoning,5,,Shark Bait,Brad Fiorenza,Veronica Portillo
s32_final_reckoning,5,,Shark Bait,Kyle Christie,CT Tamburello
s32_final_reckoning,5,,Shark Bait,Kyle Christie,Veronica Portillo
s32_final_reckoning,6/7,,Ramp It Up,Joss Mooney,Derrick Henry
s32_final_reckoning,6/7,,Ramp It Up,Joss Mooney,Tori Deal
s32_final_reckoning,6/7,,Ramp It Up,Sylvia Elsrode,Derrick Henry
s32_final_reckoning,6/7,,Ramp It Up,Sylvia Elsrode,Tori Deal
s32_final_reckoning,7/8,,No Slack,Ashley Mitchell,Angela Babicz
s32_final_reckoning,7/8,,No Slack,Ashley Mitchell,Faith Stowers
s32_final_reckoning,7/8,,No Slack,Hunter Barfield,Angela Babicz
s32_final_reckoning,7/8,,No Slack,Hunter Barfield,Faith Stowers
s32_final_reckoning,8/9,,Think Tank,Kam Williams,Da'Vonne Rogers
s32_final_reckoning,8/9,,Think Tank,Kam Williams,Jozea Flores
s32_final_reckoning,8/9,,Think Tank,Kayleigh Morris,Da'Vonne Rogers
s32_final_reckoning,8/9,,Think Tank,Kayleigh Morris,Jozea Flores
s32_final_reckoning,10/11,,Dunking for Dinner,Ashley Mitchell,Kam Williams
s32_final_reckoning,10/11,,Dunking for Dinner,Ashley Mitchell,Kayleigh Morris
s32_final_reckoning,10/11,,Dunking for Dinner,Hunter Barfield,Kam Williams
s32_final_reckoning,10/11,,Dunking for Dinner,Hunter Barfield,Kayleigh Morris
s32_final_reckoning,11/12,,Tread Lightly,Nelson Thomas,Brad Fiorenza
s32_final_reckoning,11/12,,Tread Lightly,Nelson Thomas,Kyle Christie
s32_final_reckoning,11/12,,Tread Lightly,Shane Landrum,Brad Fiorenza
s32_final_reckoning,11/12,,Tread Lightly,Shane Landrum,Kyle Christie
s32_final_reckoning,12/13,,Shake It Off,Cory Wharton,Amanda Garcia
s32_final_reckoning,12/13,,Shake It Off,Cory Wharton,Zach Nichols
s32_final_reckoning,12/13,,Shake It Off,Devin Walker,Amanda Garcia
s32_final_reckoning,12/13,,Shake It Off,Devin Walker,Zach Nichols
s32_final_reckoning,12/13,,,Cory Wharton,Da'Vonne Rogers
s32_final_reckoning,12/13,,,Cory Wharton,Jozea Flores
s32_final_reckoning,12/13,,,Devin Walker,Da'Vonne Rogers
s32_final_reckoning,12/13,,,Devin Walker,Jozea Flores
s32_final_reckoning,14/15,,Meet Me Halfway,Nelson Thomas,Cara Maria Sorbello
s32_final_reckoning,14/15,,Meet Me Halfway,Nelson Thomas,Marie Roda
s32_final_reckoning,14/15,,Meet Me Halfway,Shane Landrum,Cara Maria Sorbello
s32_final_reckoning,14/15,,Meet Me Halfway,Shane Landrum,Marie Roda
s32_final_reckoning,16/17,,Don't Trip Me Up,Joss Mooney,Johnny Bananas
s32_final_reckoning,16/17,,Don't Trip Me Up,Joss Mooney,Tony Raines
s32_final_reckoning,16/17,,Don't Trip Me Up,Sylvia Elsrode,Johnny Bananas
s32_final_reckoning,16/17,,Don't Trip Me Up,Sylvia Elsrode,Tony Raines
s32_final_reckoning,17,,Heads Will Roll,Natalie Negrotti,Nelson Thomas
s32_final_reckoning,17,,Heads Will Roll,Natalie Negrotti,Shane Landrum
s32_final_reckoning,17,,Heads Will Roll,Paulie Calafiore,Nelson Thomas
s32_final_reckoning,17,,Heads Will Roll,Paulie Calafiore,Shane Landrum
s32_final_reckoning,18,,Rolling Thunder,Joss Mooney,Kam Williams
s32_final_reckoning,18,,Rolling Thunder,Joss Mooney,Kayleigh Morris
s32_final_reckoning,18,,Rolling Thunder,Sylvia Elsrode,Kam Williams
s32_final_reckoning,18,,Rolling Thunder,Sylvia Elsrode,Kayleigh Morris
s32_final_reckoning,19,,Milk and Cookies,Natalie Negrotti,Johnny Bananas
s32_final_reckoning,19,,Milk and Cookies,Natalie Negrotti,Tony Raines
s32_final_reckoning,19,,Milk and Cookies,Paulie Calafiore,Johnny Bananas
s32_final_reckoning,19,,Milk and Cookies,Paulie Calafiore,Tony Raines
