player,gender,finish,origin,team,pair_id
Wes Bergmann,,Third Place in This Is the End,w:c:mtvrealworld:The Real World: Austin,Veterans,
Cara Maria Sorbello,,Fifth Place in This Is the End,,Veterans,
Hunter Barfield,,Sixth Place in This Is the End,,Veterans,
Da'Vonne Rogers,,Eliminated in The Waterboy,,Veterans,
Paulie Calafiore,,Eliminated in The Waterboy,,Veterans,
Kyle Christie,,Eliminated in Final Destination,,Veterans,
Nany González,,Eliminated in Lost in Translation,w:c:mtvrealworld:The Real World: Las Vegas (2011),Veterans,
Kam Williams,,Eliminated in American Psycho,,Veterans,
Jenna Compono,,"Eliminated in Liar, Liar",w:c:mtvrealworld:Real World: Ex-Plosion,Veterans,
Amanda Garcia,,Eliminated in This Means War,,Veterans,
Leroy Garrett,,Eliminated in In Love and War,w:c:mtvrealworld:The Real World: Las Vegas (2011),Veterans,
Zach Nichols,,Eliminated in The Greatest Showman,w:c:mtvrealworld:The Real World: San Diego (2011),Veterans,
CT Tamburello,,Eliminated in It's Complicated,w:c:mtvrealworld:The Real World: Paris,Veterans,
Natalie Negrotti,,Eliminated in It's Complicated,,Veterans,
Johnny Bananas,,Eliminated in Casualties of War,w:c:mtvrealworld:The Real World: Key West,Veterans,
Ashley Mitchell,,Eliminated in Hellraiser,w:c:mtvrealworld:Real World: Ex-Plosion,Veterans,
Turbo Çamkıran,,Winner in This Is the End,,Prospects,
Theo Campbell,,Runner-Up in This Is the End,,Prospects,
Natalie Duran,,Fourth Place in This Is the End,,Prospects,
Mattie Lynn Breaux,,,,Prospects,
Georgia Harrison,,,,Prospects,
Dee Nguyen,,Eliminated in The Waterboy,,Prospects,
Stephen Bear,,Eliminated in To All the Partners I've Loved Before,,Prospects,
Ashley Cain,,Eliminated in American Psycho,,Prospects,
Gus Smyrnios,,"Eliminated in Liar, Liar",,Prospects,
Josh Martinez,,Eliminated in This Means War,,Prospects,
Shaleen Sutherland,,Eliminated in In Love and War,,Prospects,
Zahida Allen,,Eliminated in The Greatest Showman,,Prospects,
JP Andrade,,Eliminated in It's Complicated,,Prospects,
Julia Nolan,,Eliminated in It's Complicated,,Prospects,
Morgan Willett,,Eliminated in Casualties of War,,Prospects,
Chase McNary,,Eliminated in Hellraiser,,Prospects,
Alan Valdez,,Medically Disqualified in Apocalypse Now,,Prospects,
Liz Nolan,,Eliminated in Apocalypse Now,,Prospects,
