episode,challenge,format,role,winner
2,Arms-a-geddon Tired,pair,prize,Amanda Garcia
2,Arms-a-geddon Tired,pair,prize,Josh Martinez
2,Arms-a-geddon Tired,pair,safety,Johnny Bananas
2,Arms-a-geddon Tired,pair,safety,Morgan Willett
3,Search and Destroy,pair,prize,Paulie Calafiore
3,Search and Destroy,pair,prize,Natalie Duran
3,Search and Destroy,pair,safety,Wes Bergmann
3,Search and Destroy,pair,safety,Dee Nguyen
4*,Fallout,pair,prize,Nany González
4*,Fallout,pair,prize,Turbo Çamkıran
4*,Fallout,pair,safety,Paulie Calafiore
4*,Fallout,pair,safety,Natalie Duran
4*,,individual,prize,Kyle Christie
5,Tired Out,pair,prize,Nany González
5,Tired Out,pair,prize,Turbo Çamkıran
5,Tired Out,pair,safety,Paulie Calafiore
5,Tired Out,pair,safety,Natalie Duran
6,Doom Buggy,pair,prize,Kyle Christie
6,Doom Buggy,pair,prize,Mattie Lynn Breaux
6,Doom Buggy,pair,safety,Wes Bergmann
6,Doom Buggy,pair,safety,Dee Nguyen
7,Eye in the Sky,pair,prize,Jenna Compono
7,Eye in the Sky,pair,prize,Gus Smyrnios
7,Eye in the Sky,pair,safety,Wes Bergmann
7,Eye in the Sky,pair,safety,Dee Nguyen
8,Brain Freeze,pair,prize,Nany González
8,Brain Freeze,pair,prize,Turbo Çamkıran
8,Brain Freeze,pair,safety,Wes Bergmann
8,Brain Freeze,pair,safety,Dee Nguyen
9,Road Warrior,pair,prize,Hunter Barfield
9,Road Warrior,pair,prize,Georgia Harrison
9,Road Warrior,pair,safety,Kyle Christie
9,Road Warrior,pair,safety,Mattie Lynn Breaux
10,Fandemonium,individual,prize,Paulie Calafiore
10,Fandemonium,individual,safety,Theo Campbell
11/12,Highway to Hell,individual,prize,Dee Nguyen
11/12,Highway to Hell,individual,safety,Mattie Lynn Breaux
12/13,Day of Wreckoning,pair,prize,Da'Vonne Rogers
12/13,Day of Wreckoning,pair,prize,Wes Bergmann
12/13,Day of Wreckoning,pair,safety,Georgia Harrison
12/13,Day of Wreckoning,pair,safety,Paulie Calafiore
13/14,Crash Landing,individual,prize,Cara Maria Sorbello
13/14,Crash Landing,individual,safety,Paulie Calafiore
