episode,gender,game,winner,loser
1,M,Male,Paulie Calafiore,Josh Martinez
1,F,Female,Da'Vonne Rogers,Liz Nolan
2,,Drone Ball Drop,Hunter Barfield,Ashley Mitchell
2,,Drone Ball Drop,Hunter Barfield,Chase McNary
2,,Drone Ball Drop,Georgia Harrison,Ashley Mitchell
2,,Drone Ball Drop,Georgia Harrison,Chase McNary
3,,Map It Out,Zach Nichols,Johnny Bananas
3,,Map It Out,Zach Nichols,Morgan Willett
3,,Map It Out,Zahida Allen,Johnny Bananas
3,,Map It Out,Zahida Allen,Morgan Willett
4*,,,Julia Nolan,Natalie Negrotti
4*,,,CT Tamburello,JP Andrade
5,,Lights Out,Wes Bergmann,Zach Nichols
5,,Lights Out,Wes Bergmann,Zahida Allen
5,,Lights Out,Dee Nguyen,Zach Nichols
5,,Lights Out,Dee Nguyen,Zahida Allen
6,,Sandbag Burn,Da'Vonne Rogers,Leroy Garrett
6,,Sandbag Burn,Da'Vonne Rogers,Shaleen Sutherland
6,,Sandbag Burn,Stephen Bear,Leroy Garrett
6,,Sandbag Burn,Stephen Bear,Shaleen Sutherland
7,,Uphill Battle,Kam Williams,Amanda Garcia
7,,Uphill Battle,Kam Williams,Josh Martinez
7,,Uphill Battle,Ashley Cain,Amanda Garcia
7,,Uphill Battle,Ashley Cain,Josh Martinez
8,,Push & Pole,Da'Vonne Rogers,Jenna Compono
8,,Push & Pole,Da'Vonne Rogers,Gus Smyrnios
8,,Push & Pole,Stephen Bear,Jenna Compono
8,,Push & Pole,Stephen Bear,Gus Smyrnios
9,,Wheel of Death,Paulie Calafiore,Kam Williams
9,,Wheel of Death,Paulie Calafiore,Ashley Cain
9,,Wheel of Death,Natalie Duran,Kam Williams
9,,Wheel of Death,Natalie Duran,Ashley Cain
10,M,King of the World,Kyle Christie,Stephen Bear
11/12,F,Chair'd Remains,Georgia Harrison,Nany González
12/13,M,Hall Brawl,Theo Campbell,Kyle Christie
13/14,F,Tug O' War,Da'Vonne Rogers,Dee Nguyen
