player,gender,finish,origin,team,pair_id
Cara Maria Sorbello,,Runners-Up in Give Me Liberty or Give Me Cash,,Team USA,
Natalie Duran,,Runners-Up in Give Me Liberty or Give Me Cash,,Team USA,
Paulie Calafiore,,Runners-Up in Give Me Liberty or Give Me Cash,,Team USA,
Zach Nichols,,Runners-Up in Give Me Liberty or Give Me Cash,w:c:mtvrealworld:The Real World: San Diego (2011),Team USA,
Ashley Mitchell,,,w:c:mtvrealworld:Real World: Ex-Plosion,Team USA,
Kam Williams,,,,Team USA,
Leroy Garrett,,,w:c:mtvrealworld:The Real World: Las Vegas (2011),Team USA,
Nany González,,Eliminated in Declaration of Independence,w:c:mtvrealworld:The Real World: Las Vegas (2011),Team USA,
Josh Martinez,,Eliminated in Dee-Day,,Team USA,
Turbo Çamkıran,,Disqualified in Infinity War,,Team USA,
Johnny Bananas,,Eliminated in In Paulie We Trust,w:c:mtvrealworld:The Real World: Key West,Team USA,
Laurel Stucky,,Eliminated in Benedict Laurel,,Team USA,
Wes Bergmann,,"Eliminated in United We Stand, Divided We Fall",w:c:mtvrealworld:The Real World: Austin,Team USA,
Faith Stowers,,Quit in God Save the Queen,,Team USA,
CT Tamburello,,Winners in Give Me Liberty or Give Me Cash,w:c:mtvrealworld:The Real World: Paris,Team UK,
Dee Nguyen,,Winners in Give Me Liberty or Give Me Cash,,Team UK,
Jordan Wiseley,,Winners in Give Me Liberty or Give Me Cash,w:c:mtvrealworld:The Real World: Portland,Team UK,
Rogan O'Connor,,Winners in Give Me Liberty or Give Me Cash,,Team UK,
Tori Deal,,,,Team UK,
Joss Mooney,,Eliminated in Dee-Day,,Team UK,
Kayleigh Morris,,Eliminated in Dee-Day,,Team UK,
Jenny West,,Eliminated in The Right Honorable Rogan,,Team UK,
Theo Campbell,,Eliminated in All Is Fair in Love and War,,Team UK,
Georgia Harrison,,Eliminated in Infinity War,,Team UK,
Idris Virgo,,Eliminated in The Royal Rumble,,Team UK,
Kyle Christie,,Eliminated in Saving Private Esther,,Team UK,
Esther Falana,,Eliminated in Saving Private Esther,,Team UK,
Stephen Bear,,Eliminated in Zero Dark Turbo,,Team UK,
Nicole Bass,,Eliminated in One Nation Under Leroy,,Team UK,
Big T Fazakerley,,Eliminated in God Save the Queen,,Team UK,
Zahida Allen,,Quit in God Save the Queen,,Team UK,
Sean Lineker,,Eliminated in The British Are Coming!,,Team UK,
