episode,challenge,format,role,winner
1,Trench Warfare,individual,prize,Jordan Wiseley
1,Trench Warfare,individual,safety,Laurel Stucky
2,Cryptic Crossbow,individual,prize,Ashley Mitchell
2,Cryptic Crossbow,individual,safety,Kam Williams
3,Paddlewheel Puzzle,individual,prize,Josh Martinez
3,Paddlewheel Puzzle,individual,safety,Laurel Stucky
4,Relic Runner,individual,prize,Dee Nguyen
4,Relic Runner,individual,safety,Georgia Harrison
5,Hooked,individual,prize,Cara Maria Sorbello
5,Hooked,individual,safety,Jordan Wiseley
6,Explosive Decision,individual,prize,Leroy Garrett
6,Explosive Decision,individual,safety,Nany González
7,Resilient River Run,individual,prize,Tori Deal
7,Resilient River Run,individual,safety,Turbo Çamkıran
8,Crate Expectations,individual,prize,Ashley Mitchell
8,Crate Expectations,individual,safety,Cara Maria Sorbello
8,,individual,prize,Kyle Christie
8,,individual,safety,Theo Campbell
9,Under Siege,individual,prize,Josh Martinez
9,Under Siege,individual,safety,Leroy Garrett
10,Incoming,individual,prize,Jenny West
10,Incoming,individual,safety,Joss Mooney
11,Temple Wall Traverse,individual,prize,Cara Maria Sorbello
11,Temple Wall Traverse,individual,safety,Paulie Calafiore
12,Escape to Freedom,individual,prize,Kam Williams
12,Escape to Freedom,individual,safety,Leroy Garrett
13,,individual,prize,Ashley Mitchell
13,,individual,safety,Natalie Duran
14,Mine the Cart,individual,prize,CT Tamburello
14,Mine the Cart,individual,safety,Rogan O'Connor
