episode,gender,game,winner,loser
1,M,Pole Wrestle,Idris Virgo,Sean Lineker
2,F,Firestarter,Georgia Harrison,Big T Fazakerley
3,M,Firing Squad,Stephen Bear,Wes Bergmann
4,F,Branched Out,Natalie Duran,Laurel Stucky
5,M,Die for Me,Theo Campbell,Johnny Bananas
6,F,Trapped,Jenny West,Nicole Bass
7,M,Whalloped,Joss Mooney,Stephen Bear
8,F,Running Riot,Georgia Harrison,Esther Falana
8,M,,Theo Campbell,Kyle Christie
9,M,Break Free,Theo Campbell,Idris Virgo
10,F,Blockbuster,Tori Deal,Georgia Harrison
11,M,Under the Hammer,Jordan Wiseley,Theo Campbell
12,F,Hall Brawl,Tori Deal,Jenny West
13,M,End of the Rope,Jordan Wiseley,Josh Martinez
14,F,Run for Your Life,Ashley Mitchell,Nany González
