player,gender,finish,origin,team,pair_id
Johnny Bananas,M,Winner in It's the End of the World As We Know It,w:c:mtvrealworld:The Real World: Key West,,
Kyle Christie,M,Runner-Up in It's the End of the World As We Know It,,,
Cory Wharton,M,Third Place in It's the End of the World As We Know It,w:c:mtvrealworld:Real World: Ex-Plosion,,
Faysal Shafaat,M,Fourth Place in It's the End of the World As We Know It,,,
Rogan O'Connor,M,Fifth Place in It's the End of the World As We Know It,,,
Nelson Thomas,M,Eliminated in Crash Into Me,,,
Josh Martinez,M,Eliminated in Your Time is Gonna Come,,,
Swaggy C Williams,M,Eliminated in Pictures of You,,,
Wes Bergmann,M,Eliminated in The Final Countdown,w:c:mtvrealworld:The Real World: Austin,,
Stephen Bear,M,Eliminated in Live and Let Die,,,
Jordan Wiseley,M,Eliminated in Live and Let Die,w:c:mtvrealworld:The Real World: Portland,,
Jay Starrett,M,Medically Disqualified in Love Will Tear Us Apart,,,
CT Tamburello,M,Eliminated in A Hard Jay's Night,w:c:mtvrealworld:The Real World: Paris,,
Asaf Goren,M,Eliminated in Mad World,,,
Jenny West,F,Winner in It's the End of the World As We Know It,,,
Kaycee Clark,F,Runner-Up in It's the End of the World As We Know It,,,
Bayleigh Dayton,F,Third Place in It's the End of the World As We Know It,,,
Melissa Reeves,F,Fourth Place in It's the End of the World As We Know It,,,
Dee Nguyen,F,Eliminated in Crash Into Me,,,
Aneesa Ferreira,F,Eliminated in Your Time is Gonna Come,w:c:mtvrealworld:The Real World: Chicago,,
Nany González,F,Eliminated in Victim of Love,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Mattie Lynn Breaux,F,Eliminated in You Ain't Right,,,
Jenna Compono,F,Eliminated in Backstabber,w:c:mtvrealworld:Real World: Ex-Plosion,,
Kailah Casillas-Bird,F,Eliminated in Backstabber,w:c:mtvrealworld:Real World: Go Big or Go Home,,
Big T Fazakerley,F,Medically Disqualified in Backstabber,,,
Tori Deal,F,Eliminated in Should I Stay or Should I Go?,,,
Ashley Mitchell,F,Eliminated in Karma Chameleon,w:c:mtvrealworld:Real World: Ex-Plosion,,
Jenn Lee,F,Eliminated in Sweet Dreams Are Made of Dee,,,
