episode,challenge,format,role,winner
1,Battle Lines,individual,prize,Jenny West
1,Battle Lines,individual,safety,Rogan O'Connor
2,Airdrop Extraction,team,prize,Cory Wharton
2,Airdrop Extraction,team,prize,Dee Nguyen
2,Airdrop Extraction,team,prize,Swaggy C Williams
2,Airdrop Extraction,individual,safety,Jenn Lee
3,Decode and Detonate,individual,prize,Bayleigh Dayton
3,Decode and Detonate,individual,safety,CT Tamburello
4,Cold War,team,prize,Aneesa Ferreira
4,Cold War,team,prize,Johnny Bananas
4,Cold War,team,prize,Stephen Bear
4,Cold War,team,prize,Big T Fazakerley
4,Cold War,team,prize,Kaycee Clark
4,Cold War,individual,safety,Ashley Mitchell
5/6,Bomb Squad,team,prize,Jenny West
5/6,Bomb Squad,team,prize,Josh Martinez
5/6,Bomb Squad,team,prize,Kaycee Clark
5/6,Bomb Squad,team,prize,Swaggy C Williams
5/6,Bomb Squad,individual,safety,Jay Starrett
6/7,Fast & Furious,pair,prize,Jordan Wiseley
6/7,Fast & Furious,pair,prize,Nany González
6/7,Fast & Furious,team,safety,Jenna Compono
6/7,Fast & Furious,team,safety,Jordan Wiseley
6/7,Fast & Furious,team,safety,Nany González
8,Decontamination,individual,prize,Mattie Lynn Breaux
8,Decontamination,team,safety,Johnny Bananas
8,Decontamination,team,safety,Mattie Lynn Breaux
8,Decontamination,team,safety,Wes Bergmann
9,Tunnel Rats,team,prize,Bayleigh Dayton
9,Tunnel Rats,team,prize,Cory Wharton
9,Tunnel Rats,team,prize,Dee Nguyen
9,Tunnel Rats,team,prize,Nany González
9,Tunnel Rats,team,prize,Wes Bergmann
9,Tunnel Rats,individual,safety,Kaycee Clark
9,,individual,prize,Kailah Casillas-Bird
9,,individual,safety,Melissa Reeves
10,Throne Off,individual,prize,Dee Nguyen
10,Throne Off,individual,safety,Wes Bergmann
11,Flag Down,individual,prize,Josh Martinez
11,Flag Down,individual,safety,Melissa Reeves
12,Tanks A Lot,team,prize,Bayleigh Dayton
12,Tanks A Lot,team,prize,Dee Nguyen
12,Tanks A Lot,team,prize,Faysal Shafaat
12,Tanks A Lot,individual,safety,Cory Wharton
13,Bloc'd In,team,prize,Aneesa Ferreira
13,Bloc'd In,team,prize,Johnny Bananas
13,Bloc'd In,team,prize,Cory Wharton
13,Bloc'd In,team,prize,Jenny West
13,Bloc'd In,team,prize,Josh Martinez
13,Bloc'd In,team,prize,Nany González
13,Bloc'd In,team,prize,Rogan O'Connor
13,Bloc'd In,individual,safety,Melissa Reeves
14,Running Out of Time,individual,prize,Jenny West
14,Running Out of Time,team,safety,Faysal Shafaat
14,Running Out of Time,team,safety,Jenny West
14,Running Out of Time,team,safety,Josh Martinez
14,,individual,prize,Faysal Shafaat
14,,individual,safety,Kyle Christie
15,Crash Course,individual,prize,Kaycee Clark
15,Crash Course,team,safety,Johnny Bananas
15,Crash Course,team,safety,Kaycee Clark
15,Crash Course,team,safety,Kyle Christie
15,,individual,prize,Johnny Bananas
15,,individual,safety,Rogan O'Connor
