episode,gender,game,winner,loser
1,M,Air Strike,Jay Starrett,Asaf Goren
2,F,Flip the Switch,Jenny West,Jenn Lee
3,M,Take Shelter,Jay Starrett,CT Tamburello
4,F,Code Breaker,Dee Nguyen,Ashley Mitchell
5/6,M,Fire Ball,Rogan O'Connor,Jay Starrett
6/7,F,Dust to Dust,Jenna Compono,Tori Deal
8,M,Pole Wrestle,Faysal Shafaat,Jordan Wiseley
9,F,Bombs Away,Kaycee Clark,Kailah Casillas-Bird
9,,,Aneesa Ferreira,Jenna Compono
10,M,Charge the Wall,Johnny Bananas,Wes Bergmann
11,F,Tunnel Vision,Dee Nguyen,Mattie Lynn Breaux
12,M,Launch Button,Cory Wharton,Swaggy C Williams
13,F,Off with Your Heads,Melissa Reeves,Nany González
14,F,Knots of War,Bayleigh Dayton,Aneesa Ferreira
14,M,,Kyle Christie,Josh Martinez
15,F,Hall Brawl,Jenny West,Dee Nguyen
15,M,,Rogan O'Connor,Nelson Thomas
