player,gender,finish,origin,team,pair_id
CT Tamburello,M,Winner in The World Is Not Enough,w:c:mtvrealworld:The Real World: Paris,,
Cory Wharton,M,Runner-Up in The World Is Not Enough,w:c:mtvrealworld:Real World: Ex-Plosion,,
Leroy Garrett,M,Third Place in The World Is Not Enough,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Faysal Shafaat,M,Fourth Place <small>in The World Is Not Enough,,,
Kyle Christie,M,Medically Disqualified <small>in True Lies,,,
Darrell Taylor,M,,w:c:roadrules:Road Rules: Campus Crawl,,
Nam Vo,M,"Medically Disqualified <small>in Tinker, Tailer, Bunny, Spy",,,
Josh Martinez,M,,,,
Devin Walker,M,,,,
Mechie Harris,M,,,,
Jay Starrett,M,,,,
Lio Rush,M,Quit <small>in From Theresa with Love,,,
Nelson Thomas,M,,,,
Wes Bergmann,M,,w:c:mtvrealworld:The Real World: Austin,,
Joseph Allen,M,Eliminated in Dive Another Day,,,
Amber Borzotra,F,Winner <small>in The World Is Not Enough,,,
Kam Williams,F,Runner-Up <small>in The World Is Not Enough,,,
Nany González,F,Third Place <small>in The World Is Not Enough,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
Kaycee Clark,F,Fourth Place <small>in The World Is Not Enough,,,
Big T Fazakerley,F,Eliminated in A Most Wanted Man,,,
Aneesa Ferreira,F,,w:c:mtvrealworld:The Real World: Chicago,,
Gabby Allen,F,,,,
Lolo Jones,F,Quit <small>in An Inconvenient Goof,,,
Amber Martinez,F,,,,
Theresa Jones,F,,,,
Ashley Mitchell,F,,w:c:mtvrealworld:Real World: Ex-Plosion,,
Tori Deal,F,,,,
Natalie Anderson,F,Medically Disqualified <small>in Skyfall,,,
Liv Jawando,F,Medically Disqualified <small>in Duplicity,,,
Nicole Zanatta,F,Medically Disqualified <small>in Enemy of the State,w:c:mtvrealworld:Real World: Skeletons,,
