season_id,episode,challenge,format,role,winner
s36_double_agents,1,Decryption,pair,prize,Aneesa Ferreira
s36_double_agents,1,Decryption,pair,prize,Faysal Shafaat
s36_double_agents,1,Decryption,pair,safety,Ashley Mitchell
s36_double_agents,1,Decryption,pair,safety,CT Tamburello
s36_double_agents,2,Ice Spy,pair,prize,Aneesa Ferreira
s36_double_agents,2,Ice Spy,pair,prize,Faysal Shafaat
s36_double_agents,2,Ice Spy,pair,safety,Big T Fazakerley
s36_double_agents,2,Ice Spy,pair,safety,Joseph Allen
s36_double_agents,3,Road Kill,pair,prize,Kaycee Clark
s36_double_agents,3,Road Kill,pair,prize,Leroy Garrett
s36_double_agents,3,Road Kill,pair,safety,Devin Walker
s36_double_agents,3,Road Kill,pair,safety,Nicole Zanatta
s36_double_agents,4,Drone Control,pair,prize,Devin Walker
s36_double_agents,4,Drone Control,pair,prize,Tori Deal
s36_double_agents,4,Drone Control,pair,safety,Amber Martinez
s36_double_agents,4,Drone Control,pair,safety,Nelson Thomas
s36_double_agents,5,Agent Down,pair,prize,Big T Fazakerley
s36_double_agents,5,Agent Down,pair,prize,CT Tamburello
s36_double_agents,5,Agent Down,pair,safety,Aneesa Ferreira
s36_double_agents,5,Agent Down,pair,safety,Leroy Garrett
s36_double_agents,6,Smuggle Run,pair,prize,Jay Starrett
s36_double_agents,6,Smuggle Run,pair,prize,Theresa Jones
s36_double_agents,6,Smuggle Run,pair,safety,Ashley Mitchell
s36_double_agents,6,Smuggle Run,pair,safety,Cory Wharton
s36_double_agents,7,Aerial Takedown,pair,prize,Kaycee Clark
s36_double_agents,7,Aerial Takedown,pair,prize,Leroy Garrett
s36_double_agents,7,Aerial Takedown,pair,safety,Jay Starrett
s36_double_agents,7,Aerial Takedown,pair,safety,Theresa Jones
s36_double_agents,8,All Brawl,pair,prize,Kam Williams
s36_double_agents,8,All Brawl,pair,prize,Kyle Christie
s36_double_agents,8,All Brawl,pair,safety,Amber Martinez
s36_double_agents,8,All Brawl,pair,safety,Mechie Harris
s36_double_agents,9,Interrogation,pair,prize,Amber Borzotra
s36_double_agents,9,Interrogation,pair,prize,Darrell Taylor
s36_double_agents,9,Interrogation,pair,safety,Cory Wharton
s36_double_agents,9,Interrogation,pair,safety,Theresa Jones
s36_double_agents,10,Black Sand Ops,pair,prize,Devin Walker
s36_double_agents,10,Black Sand Ops,pair,prize,Gabby Allen
s36_double_agents,10,Black Sand Ops,pair,safety,Amber Martinez
s36_double_agents,10,Black Sand Ops,pair,safety,Cory Wharton
s36_double_agents,11/12,Air Lift,pair,prize,Big T Fazakerley
s36_double_agents,11/12,Air Lift,pair,prize,CT Tamburello
s36_double_agents,11/12,Air Lift,pair,safety,Devin Walker
s36_double_agents,11/12,Air Lift,pair,safety,Gabby Allen
s36_double_agents,12/13,Survive the Night,pair,prize,Kaycee Clark
s36_double_agents,12/13,Survive the Night,pair,prize,Leroy Garrett
s36_double_agents,12/13,Survive the Night,pair,safety,Cory Wharton
s36_double_agents,12/13,Survive the Night,pair,safety,Gabby Allen
s36_double_agents,14,Undercover,pair,prize,Aneesa Ferreira
s36_double_agents,14,Undercover,pair,prize,Kyle Christie
s36_double_agents,14,Undercover,pair,safety,Amber Borzotra
s36_double_agents,14,Undercover,pair,safety,Darrell Taylor
s36_double_agents,15,Spy Dive,pair,prize,Kaycee Clark
s36_double_agents,15,Spy Dive,pair,prize,Leroy Garrett
s36_double_agents,15,Spy Dive,pair,safety,Big T Fazakerley
s36_double_agents,15,Spy Dive,pair,safety,CT Tamburello
s36_double_agents,16,Global Domination,pair,prize,Kaycee Clark
s36_double_agents,16,Global Domination,pair,prize,Leroy Garrett
s36_double_agents,16,Global Domination,pair,safety,Amber Borzotra
s36_double_agents,16,Global Domination,pair,safety,Kyle Christie
s36_double_agents,17,Escape the Volcano,pair,prize,Cory Wharton
s36_double_agents,17,Escape the Volcano,pair,prize,Kam Williams
s36_double_agents,17,Escape the Volcano,pair,safety,Amber Borzotra
s36_double_agents,17,Escape the Volcano,pair,safety,Faysal Shafaat
