episode,gender,game,winner,loser
1,F,Fire Escape,Natalie Anderson,Ashley Mitchell
2,M,Ring of Spies,Kyle Christie,Joseph Allen
3,M,Snapping Point,Devin Walker,Wes Bergmann
4,M,Hall Brawl,Faysal Shafaat,Nelson Thomas
5,F,Asset Destruction,Aneesa Ferreira,Tori Deal
6,F,Dead Ringer,Kam Williams,Ashley Mitchell
7,M,Fire Escape,Leroy Garrett,Jay Starrett
8,M,Asset Destruction,Josh Martinez,Mechie Harris
9,F,Snapping Point,Kaycee Clark,Theresa Jones
10,F,Hall Brawl,Amber Borzotra,Amber Martinez
11/12,M,Dead Ringer,Darrell Taylor,Devin Walker
11/12,,N/A,CT Tamburello,Josh Martinez
12/13,F,Ring of Spies,Nany González,Gabby Allen
14,M,Snapping Point,Cory Wharton,Darrell Taylor
15,F,Fire Escape,Big T Fazakerley,Aneesa Ferreira
16,F,Hall Brawl,Amber Borzotra,Big T Fazakerley
17,M,Hall Brawl,Faysal Shafaat,Kyle Christie
