season_id,player,gender,finish,origin,team,pair_id
s37_spies_lies_allies,CT Tamburello,M,Winner in The Decision,w:c:mtvrealworld:The Real World: Paris,,
s37_spies_lies_allies,Kyle Christie,M,Runner-Up in The Decision,,,
s37_spies_lies_allies,Devin Walker,M,Third Place in The Decision,,,
s37_spies_lies_allies,Nelson Thomas,M,Fourth Place in The Decision,,,
s37_spies_lies_allies,Emanuel Neagu,M,Eliminated in Night of Mistakes,,,
s37_spies_lies_allies,Logan Sampedro,M,Eliminated in Drop Dead,,,
s37_spies_lies_allies,Josh Martinez,M,Eliminated in The Cave of the Wolf,,,
s37_spies_lies_allies,Cory Wharton,M,Eliminated in Titanic,w:c:mtvrealworld:Real World: Ex-Plosion,,
s37_spies_lies_allies,Ed Eason,M,Eliminated in Mucus Plug,,,
s37_spies_lies_allies,Jeremiah White,M,Eliminated in The War,,,
s37_spies_lies_allies,Hughie Maughan,M,Eliminated in The Threat,,,
s37_spies_lies_allies,Faysal Shafaat,M,Disqualified in Uncle CT,,,
s37_spies_lies_allies,Gabo Szabó,M,Eliminated in Good Vibes and Gladiator,,,
s37_spies_lies_allies,Corey Lay,M,Eliminated in Messy,,,
s37_spies_lies_allies,Tommy Sheehan,M,Medically Disqualified in Truce or Dare,,,
s37_spies_lies_allies,Kelz Dyke,M,Eliminated in Bertha,,,
s37_spies_lies_allies,Renan Hellemans,M,Eliminated in The List,,,
s37_spies_lies_allies,Nam Vo,M,Medically Disqualified in The List,,,
s37_spies_lies_allies,Kaycee Clark,F,Winner in The Decision,,,
s37_spies_lies_allies,Tori Deal,F,Runner-Up in The Decision,,,
s37_spies_lies_allies,Emy Alupei,F,Third Place in The Decision,,,
s37_spies_lies_allies,Nany González,F,Fourth Place in The Decision,w:c:mtvrealworld:The Real World: Las Vegas (2011),,
s37_spies_lies_allies,Amanda Garcia,F,Eliminated in Night of Mistakes,,,
s37_spies_lies_allies,Big T Fazakerley,F,Eliminated in Riverdance,,,
s37_spies_lies_allies,Ashley Mitchell,F,Disqualified in Mavericks,w:c:mtvrealworld:Real World: Ex-Plosion,,
s37_spies_lies_allies,Bettina Buchanan,F,Eliminated in 500,,,
s37_spies_lies_allies,Priscilla Anyabu,F,Eliminated in Precious Stones,,,
s37_spies_lies_allies,Amber Borzotra,F,Eliminated in The War,,,
s37_spies_lies_allies,Berna Canbeldek,F,Eliminated in The Threat,,,
s37_spies_lies_allies,Esther Agunbiade,F,Eliminated in Uncle CT,,,
s37_spies_lies_allies,Aneesa Ferreira,F,Medically Disqualified in Good Vibes and Gladiator,w:c:mtvrealworld:The Real World: Chicago,,
s37_spies_lies_allies,Michele Fitzgerald,F,Eliminated in Messy,,,
s37_spies_lies_allies,Tacha Akide,F,Eliminated in Truce or Dare,,,
s37_spies_lies_allies,Tracy Candela,F,Eliminated in Bertha,,,
s37_spies_lies_allies,Lauren Coogan,F,Disqualified before Bertha,,,
s37_spies_lies_allies,Michaela Bradshaw,F,Eliminated in The List,,,
