episode,gender,game,winner,loser
1,,Back Me Up,Corey Lay,Michaela Bradshaw
1,,Back Me Up,Corey Lay,Renan Hellemans
1,,Back Me Up,Michele Fitzgerald,Michaela Bradshaw
1,,Back Me Up,Michele Fitzgerald,Renan Hellemans
2,,Flipping Agents,Ed Eason,Kelz Dyke
2,,Flipping Agents,Ed Eason,Tracy Candela
2,,Flipping Agents,Emy Alupei,Kelz Dyke
2,,Flipping Agents,Emy Alupei,Tracy Candela
3,,Slipping Up,Berna Canbeldek,Tacha Akide
4,,Down to the Wire,Amber Borzotra,Corey Lay
4,,Down to the Wire,Amber Borzotra,Michele Fitzgerald
4,,Down to the Wire,Hughie Maughan,Corey Lay
4,,Down to the Wire,Hughie Maughan,Michele Fitzgerald
5,,Higher Assets,Logan Sampedro,Gabo Szabó
6/7,,Rage Cage,Emy Alupei,Esther Agunbiade
8,,Race to Escape,Jeremiah White,Berna Canbeldek
8,,Race to Escape,Jeremiah White,Hughie Maughan
8,,Race to Escape,Priscilla Anyabu,Berna Canbeldek
8,,Race to Escape,Priscilla Anyabu,Hughie Maughan
9,,Hang in the Balance,Bettina Buchanan,Amber Borzotra
9,,Hang in the Balance,Bettina Buchanan,Jeremiah White
9,,Hang in the Balance,Cory Wharton,Amber Borzotra
9,,Hang in the Balance,Cory Wharton,Jeremiah White
10,F,Seek and Destroy,Ashley Mitchell,Priscilla Anyabu
11,M,Pole Wrestle,Kyle Christie,Ed Eason
12,F,Bombs Away,Emy Alupei,Bettina Buchanan
13,M,Rope Burn,Logan Sampedro,Cory Wharton
14,F,Vault Escape,Amanda Garcia,Big T Fazakerley
15,M,Burning Bridges,Kyle Christie,Josh Martinez
16,F,License to Chill,Emy Alupei,Big T Fazakerley
17,M,Rocket Run,Emanuel Neagu,Logan Sampedro
18,F,Drone Drop,Tori Deal,Amanda Garcia
18,M,Triple Threat,Devin Walker,Emanuel Neagu
