season_id,player,gender,finish,origin,team,pair_id
s38_ride_or_dies,Devin Walker,M,Winners in The End of the Ride,,,row_002
s38_ride_or_dies,Tori Deal,F,Winners in The End of the Ride,,,row_002
s38_ride_or_dies,Johnny Bananas,M,Runners-Up in The End of the Ride,w:c:mtvrealworld:The Real World: Key West,,row_003
s38_ride_or_dies,Nany González,F,Runners-Up in The End of the Ride,w:c:mtvrealworld:The Real World: Las Vegas (2011),,row_003
s38_ride_or_dies,Jordan Wiseley,M,Third Place in The End of the Ride,w:c:mtvrealworld:The Real World: Portland,,row_004
s38_ride_or_dies,Aneesa Ferreira,F,Third Place in The End of the Ride,w:c:mtvrealworld:The Real World: Chicago,,row_004
s38_ride_or_dies,Horacio Gutiérrez Jr.,M,Fourth Place in Riders on the Storm,,,row_005
s38_ride_or_dies,Olivia Kaiser,F,Fourth Place in Riders on the Storm,,,row_005
s38_ride_or_dies,Faysal Shafaat,M,Eliminated in Friends or Froze,,,row_006
s38_ride_or_dies,Moriah Jade,F,Eliminated in Friends or Froze,,,row_006
s38_ride_or_dies,Chauncey Palmer,M,Eliminated in Knot a Problem,,,row_007
s38_ride_or_dies,Amber Borzotra,F,Eliminated in Knot a Problem,,,row_007
s38_ride_or_dies,Kenny Clark,M,Eliminated in Knot a Problem,,,row_008
s38_ride_or_dies,Kaycee Clark,F,Eliminated in Knot a Problem,,,row_008
s38_ride_or_dies,Nelson Thomas,M,Eliminated in Frenemy of the State,,,row_009
s38_ride_or_dies,Nurys Mateo,F,Eliminated in Frenemy of the State,,,row_009
s38_ride_or_dies,Jay Starrett,M,Eliminated in Born to Ride or Die,,,row_010
s38_ride_or_dies,Michele Fitzgerald,F,Eliminated in Born to Ride or Die,,,row_010
s38_ride_or_dies,Darrell Taylor,M,Eliminated in Deep Web,w:c:roadrules:Road Rules: Campus Crawl,,row_011
s38_ride_or_dies,Veronica Portillo,F,Eliminated in Deep Web,w:c:roadrules:Road Rules: Semester at Sea,,row_011
s38_ride_or_dies,Jakk Maddox,M,Eliminated in Come Michele or High Water,,,row_012
s38_ride_or_dies,Laurel Stucky,F,Eliminated in Come Michele or High Water,,,row_012
s38_ride_or_dies,Kim Tränka,M,Eliminated in Get Rich or Ride or Die Tryin',,,row_013
s38_ride_or_dies,Colleen Schneider,F,Eliminated in Get Rich or Ride or Die Tryin',,,row_013
s38_ride_or_dies,Tommy Bracco,M,Eliminated in O'liv'n on the Edge,,,row_014
s38_ride_or_dies,Analyse Talavera,F,Eliminated in O'liv'n on the Edge,,,row_014
s38_ride_or_dies,Johnny Middlebrooks,M,Eliminated in A Bumpy Ride,,,row_015
s38_ride_or_dies,Ravyn Rochelle,F,Eliminated in A Bumpy Ride,,,row_015
s38_ride_or_dies,Turbo Çamkıran,M,Eliminated in Friend or Faux,,,row_016
s38_ride_or_dies,Tamara Alfaro,F,Eliminated in Friend or Faux,,,row_016
s38_ride_or_dies,Nam Vo,M,Quit in Friend or Faux,,,row_017
s38_ride_or_dies,Emmy Russ,F,Quit in Friend or Faux,,,row_017
s38_ride_or_dies,Sam Bird,M,"Eliminated in Don't Die for Me, Argentina",w:c:mtvrealworld:Real World: Go Big or Go Home,,row_018
s38_ride_or_dies,Kailah Casillas-Bird,F,"Eliminated in Don't Die for Me, Argentina",,,row_018
