episode,challenge,format,role,winner
1,Bolas for Blood,pair,prize,Kailah Casillas-Bird
1,Bolas for Blood,pair,prize,Sam Bird
1,Bolas for Blood,pair,safety,Colleen Schneider
1,Bolas for Blood,pair,safety,Kim Tränka
2,Balancing Act,pair,prize,Tamara Alfaro
2,Balancing Act,pair,prize,Turbo Çamkıran
2,Balancing Act,pair,safety,Jay Starrett
2,Balancing Act,pair,safety,Michele Fitzgerald
3,Build Me Up,pair,prize,Johnny Middlebrooks
3,Build Me Up,pair,prize,Ravyn Rochelle
3,Build Me Up,pair,safety,Analyse Talavera
3,Build Me Up,pair,safety,Tommy Bracco
4,Hold On for Me,pair,prize,Analyse Talavera
4,Hold On for Me,pair,prize,Tommy Bracco
4,Hold On for Me,pair,safety,Horacio Gutiérrez Jr.
4,Hold On for Me,pair,safety,Olivia Kaiser
5,Royal Relay,pair,prize,Jakk Maddox
5,Royal Relay,pair,prize,Laurel Stucky
5,Royal Relay,pair,safety,Darrell Taylor
5,Royal Relay,pair,safety,Veronica Portillo
6,Down the Line,pair,prize,Aneesa Ferreira
6,Down the Line,pair,prize,Jordan Wiseley
6,Down the Line,pair,safety,Johnny Bananas
6,Down the Line,pair,safety,Nany González
7,Peaking Blinders,pair,prize,Amber Borzotra
7,Peaking Blinders,pair,prize,Chauncey Palmer
7,Peaking Blinders,pair,safety,Johnny Bananas
7,Peaking Blinders,pair,safety,Nany González
8,Double Trouble,pair,prize,Jay Starrett
8,Double Trouble,pair,prize,Michele Fitzgerald
8,Double Trouble,pair,safety,Nelson Thomas
8,Double Trouble,pair,safety,Nurys Mateo
10,Last Life,individual,prize,Horacio Gutiérrez Jr.
10,Last Life,individual,safety,Devin Walker
11,Spin Class,individual,prize,Nurys Mateo
11,Spin Class,individual,safety,Moriah Jade
12,Chopper Drop,individual,prize,Faysal Shafaat
12,Chopper Drop,individual,safety,Chauncey Palmer
13,Blind Faith,individual,prize,Moriah Jade
13,Blind Faith,individual,safety,Amber Borzotra
14,Takes Two to Tango,individual,prize,Horacio Gutiérrez Jr.
14,Takes Two to Tango,individual,safety,Devin Walker
15,Runaway Ride,pair,prize,Amber Borzotra
15,Runaway Ride,pair,prize,Chauncey Palmer
15,Runaway Ride,pair,safety,Horacio Gutiérrez Jr.
15,Runaway Ride,pair,safety,Olivia Kaiser
16,Frozen Senseless,pair,prize,Faysal Shafaat
16,Frozen Senseless,pair,prize,Moriah Jade
16,Frozen Senseless,pair,safety,Horacio Gutiérrez Jr.
16,Frozen Senseless,pair,safety,Olivia Kaiser
