episode,gender,game,winner,loser
1,,You Move I Move,Devin Walker,Kailah Casillas-Bird
1,,You Move I Move,Devin Walker,Sam Bird
1,,You Move I Move,Tori Deal,Kailah Casillas-Bird
1,,You Move I Move,Tori Deal,Sam Bird
2,,Memory Lane,Horacio Gutiérrez Jr.,Tamara Alfaro
2,,Memory Lane,Horacio Gutiérrez Jr.,Turbo Çamkıran
2,,Memory Lane,Olivia Kaiser,Tamara Alfaro
2,,Memory Lane,Olivia Kaiser,Turbo Çamkıran
3,,Double Decker,Horacio Gutiérrez Jr.,Johnny Middlebrooks
3,,Double Decker,Horacio Gutiérrez Jr.,Ravyn Rochelle
3,,Double Decker,Olivia Kaiser,Johnny Middlebrooks
3,,Double Decker,Olivia Kaiser,Ravyn Rochelle
4,,Flipping Wasted,Colleen Schneider,Analyse Talavera
4,,Flipping Wasted,Colleen Schneider,Tommy Bracco
4,,Flipping Wasted,Kim Tränka,Analyse Talavera
4,,Flipping Wasted,Kim Tränka,Tommy Bracco
5,,Give Me Some Slack,Jakk Maddox,Colleen Schneider
5,,Give Me Some Slack,Jakk Maddox,Kim Tränka
5,,Give Me Some Slack,Laurel Stucky,Colleen Schneider
5,,Give Me Some Slack,Laurel Stucky,Kim Tränka
6,,In Your Face,Aneesa Ferreira,Jakk Maddox
6,,In Your Face,Aneesa Ferreira,Laurel Stucky
6,,In Your Face,Jordan Wiseley,Jakk Maddox
6,,In Your Face,Jordan Wiseley,Laurel Stucky
7,,Deep Web,Amber Borzotra,Darrell Taylor
7,,Deep Web,Amber Borzotra,Veronica Portillo
7,,Deep Web,Chauncey Palmer,Darrell Taylor
7,,Deep Web,Chauncey Palmer,Veronica Portillo
8,,Spun Out,Horacio Gutiérrez Jr.,Jay Starrett
8,,Spun Out,Horacio Gutiérrez Jr.,Michele Fitzgerald
8,,Spun Out,Olivia Kaiser,Jay Starrett
8,,Spun Out,Olivia Kaiser,Michele Fitzgerald
10,,Breaking Barriers,Horacio Gutiérrez Jr.,Kenny Clark
11,,Pato Brawl,Amber Borzotra,Nurys Mateo
12,,Spearheaded,Faysal Shafaat,Nelson Thomas
13,,I Can See,Nany González,Moriah Jade
14,,Balls In,Horacio Gutiérrez Jr.,Jordan Wiseley
14/15,,Don't Let Me Down,Faysal Shafaat,Aneesa Ferreira
14/15,,Don't Let Me Down,Faysal Shafaat,Jordan Wiseley
14/15,,Don't Let Me Down,Moriah Jade,Aneesa Ferreira
14/15,,Don't Let Me Down,Moriah Jade,Jordan Wiseley
14/15,,Knot So Fast,Aneesa Ferreira,Kaycee Clark
14/15,,Knot So Fast,Aneesa Ferreira,Kenny Clark
14/15,,Knot So Fast,Jordan Wiseley,Kaycee Clark
14/15,,Knot So Fast,Jordan Wiseley,Kenny Clark
15,,Rumble Tumble,Aneesa Ferreira,Amber Borzotra
15,,Rumble Tumble,Aneesa Ferreira,Chauncey Palmer
15,,Rumble Tumble,Jordan Wiseley,Amber Borzotra
15,,Rumble Tumble,Jordan Wiseley,Chauncey Palmer
16,,Bridge It,Johnny Bananas,Faysal Shafaat
16,,Bridge It,Johnny Bananas,Moriah Jade
16,,Bridge It,Nany González,Faysal Shafaat
16,,Bridge It,Nany González,Moriah Jade
