season_id,player,gender,finish,origin,team,pair_id
s39_battle_for_a_new_champion,Emanuel Neagu,M,Winner <small>in Only One Gets the Crown,,,
s39_battle_for_a_new_champion,Corey Lay,M,Fourth Place <small>in Only One Gets the Crown,,,
s39_battle_for_a_new_champion,Jay Starrett,M,Seventh Place <small>in The Beginning of the End,,,
s39_battle_for_a_new_champion,James Lock,M,Eliminated <small>in Feel the Bern,,,
s39_battle_for_a_new_champion,Horacio Gutiérrez Jr.,M,Eliminated <small>in Family Knows Best,,,
s39_battle_for_a_new_champion,Kyland Young,M,Eliminated <small>in Family Knows Best,,,
s39_battle_for_a_new_champion,Ed Eason,M,Eliminated <small>in Family Knows Best,,,
s39_battle_for_a_new_champion,Asaf Goren,M,Eliminated <small>in Don't Let TJ Decide,,,
s39_battle_for_a_new_champion,Callum Izzard,M,Eliminated <small>in So Flip Floppy,,,
s39_battle_for_a_new_champion,Ciarran Stott,M,Eliminated <small>in Countdown to Chaos,,,
s39_battle_for_a_new_champion,Hughie Maughan,M,Eliminated <small>in I'm Coming Out,,,
s39_battle_for_a_new_champion,Chauncey Palmer,M,"Eliminated <small>in Two Lungs, One Heart, Can't Lose",,,
s39_battle_for_a_new_champion,Nurys Mateo,F,Runner-Up <small>in Only One Gets the Crown,,,
s39_battle_for_a_new_champion,Colleen Schneider,F,Third Place <small>in Only One Gets the Crown,,,
s39_battle_for_a_new_champion,Berna Canbeldek,F,Fifth Place <small>in Only One Gets the Crown,,,
s39_battle_for_a_new_champion,Moriah Jade,F,Sixth Place <small>in Only One Gets the Crown,,,
s39_battle_for_a_new_champion,Olivia Kaiser,F,Eliminated <small>in Feel the Bern,,,
s39_battle_for_a_new_champion,Michele Fitzgerald,F,Eliminated <small>in Feel the Bern,,,
s39_battle_for_a_new_champion,Zara Zoffany,F,Eliminated <small>in Welcome to Conquest,,,
s39_battle_for_a_new_champion,Ravyn Rochelle,F,Eliminated <small>in Welcome to Conquest,,,
s39_battle_for_a_new_champion,Melissa Reeves,F,Eliminated <small>in A Banana Split,,,
s39_battle_for_a_new_champion,Big T Fazakerley,F,Eliminated <small>in Struggling to Hold It Together,,,
s39_battle_for_a_new_champion,Jujuy Jiménez,F,Eliminated <small>in It's a Matter of Semantics,,,
s39_battle_for_a_new_champion,Jessica Brody,F,Eliminated <small>in Teamwork Makes the Perfect Work,,,
s39_battle_for_a_new_champion,Brad Fiorenza,M,Brad Fiorenza The Real World: San Diego (2004) 1x champion,,,
s39_battle_for_a_new_champion,CT Tamburello,M,CT Tamburello The Real World: Paris 5x champion,,,
s39_battle_for_a_new_champion,Darrell Taylor,M,Darrell Taylor Road Rules: Campus Crawl 4x champion,,,
s39_battle_for_a_new_champion,Devin Walker,M,Devin Walker Are You the One? 3 1x champion,,,
s39_battle_for_a_new_champion,Jordan Wiseley,M,Jordan Wiseley The Real World: Portland 4x champion,,,
s39_battle_for_a_new_champion,Cara Maria Sorbello,F,Cara Maria Sorbello Fresh Meat II 2x champion,,,
s39_battle_for_a_new_champion,Kaycee Clark,F,Kaycee Clark Big Brother 20 1x champion,,,
s39_battle_for_a_new_champion,Kaz Crossley,F,Kaz Crossley Love Island UK 4 2x champion,,,
s39_battle_for_a_new_champion,Laurel Stucky,F,Laurel Stucky Fresh Meat II 1x champion,,,
s39_battle_for_a_new_champion,Tori Deal,F,Tori Deal Are You the One? 4 1x champion,,,
