episode,challenge,format,role,winner
1,Hole Control,individual,prize,Jessica Brody
1,Hole Control,individual,safety,Big T Fazakerley
2,Ball Control,individual,prize,Chauncey Palmer
2,Ball Control,individual,safety,James Lock
3,Control Tower,individual,prize,Ravyn Rochelle
3,Control Tower,individual,safety,Jujuy Jiménez
4,Under Control,individual,prize,Hughie Maughan
4,Under Control,individual,safety,Kyland Young
5,Upside Down Whirled,pair,prize,Corey Lay
5,Upside Down Whirled,pair,prize,Ravyn Rochelle
5,Upside Down Whirled,individual,safety,Asaf Goren
6,Bingo Bango,individual,prize,Melissa Reeves
6,Bingo Bango,individual,safety,Big T Fazakerley
7,Working the Angles,individual,prize,Emanuel Neagu
7,Working the Angles,individual,safety,Corey Lay
8,Tower of Power,individual,prize,Melissa Reeves
8,Tower of Power,individual,safety,Big T Fazakerley
9,Doom Sticks,team,prize,Asaf Goren
9,Doom Sticks,team,prize,Ravyn Rochelle
9,Doom Sticks,team,prize,Zara Zoffany
9,Doom Sticks,individual,safety,Melissa Reeves
10,Sky Ball,individual,prize,Kyland Young
10,Sky Ball,individual,safety,James Lock
11,Banquet of Champions,individual,prize,Ravyn Rochelle
11,Banquet of Champions,individual,safety,Zara Zoffany
12,We All Fall Down,individual,prize,Colleen Schneider
12,We All Fall Down,individual,safety,Ravyn Rochelle
13,Getting Tanked,individual,prize,Horacio Gutiérrez Jr.
13,Getting Tanked,individual,safety,Kyland Young
14,Off in the Distance,individual,prize,Horacio Gutiérrez Jr.
14,Off in the Distance,individual,safety,CT Tamburello
15,,individual,prize,Kyland Young
15,,individual,safety,Zara Zoffany
16,,individual,prize,Kyland Young
16,,individual,safety,Nurys Mateo
17,,individual,prize,Nurys Mateo
17,,individual,safety,Olivia Kaiser
