episode,gender,game,winner,loser
1,,Fall Out,Big T Fazakerley,Jessica Brody
4,M,How I Roll,Kyland Young,Hughie Maughan
5,M,King of the Hills,Jordan Wiseley,Ciarran Stott
7,M,Totally Mental,Devin Walker,Callum Izzard
8,F,Pole in the Storm,Kaycee Clark,Big T Fazakerley
12,F,Block Head,Michele Fitzgerald,Cara Maria Sorbello
13,M,What's Going Down,Kyland Young,Brad Fiorenza
14,M,Mind Grind,CT Tamburello,Asaf Goren
15,,Dark Tide,Ed Eason,Ravyn Rochelle
15,,,Kyland Young,Zara Zoffany
16,,End of the Line,Jay Starrett,Ed Eason
16,,,Horacio Gutiérrez Jr.,Kyland Young
17,,Drum Roll,Berna Canbeldek,Michele Fitzgerald
17,,,James Lock,Olivia Kaiser
