season_id,player,gender,finish,origin,team,pair_id
s40_battle_of_the_eras,Rachel Robinson,,Winners in infobox,w:c:roadrules:Road Rules: Campus Crawl,Era I,
s40_battle_of_the_eras,Derrick Kosinski,,Eliminated in The Era of the Gladiator,w:c:roadrules:Road Rules: X-Treme,Era I,
s40_battle_of_the_eras,Darrell Taylor,,Eliminated in Trust in Your Era,w:c:roadrules:Road Rules: Campus Crawl,Era I,
s40_battle_of_the_eras,Tina Barta,,Eliminated in Trust in Your Era,w:c:roadrules:Road Rules: South Pacific,Era I,
s40_battle_of_the_eras,Brad Fiorenza,,Eliminated in My Real Friends Era,w:c:mtvrealworld:The Real World: San Diego (2004),Era I,
s40_battle_of_the_eras,CT Tamburello,,Eliminated in An Era Tradition,w:c:mtvrealworld:The Real World: Paris,Era I,
s40_battle_of_the_eras,Aneesa Ferreira,,Eliminated in My Trivia Era,w:c:mtvrealworld:The Real World: Chicago,Era I,
s40_battle_of_the_eras,Jodi Weatherton,,Eliminated in A Fatal Era,w:c:roadrules:Road Rules: X-Treme,Era I,
s40_battle_of_the_eras,Katie Cooley,,"Eliminated in The Era Invitational, Part 2",w:c:roadrules:Road Rules: The Quest,Era I,
s40_battle_of_the_eras,Mark Long,,"Eliminated in The Era Invitational, Part 2",w:c:roadrules:Road Rules: USA – The First Adventure,Era I,
s40_battle_of_the_eras,Derek Chavez,,"Runner-Up in The End of an Era, Part 2",w:c:mtvrealworld:The Real World: Cancun,Era II,
s40_battle_of_the_eras,Johnny Bananas,,"Third Place in The End of an Era, Part 2",w:c:mtvrealworld:The Real World: Key West,Era II,
s40_battle_of_the_eras,Cara Maria Sorbello,,Eliminated in Location Change Era,,Era II,
s40_battle_of_the_eras,Aviv Melmed,,Eliminated in Thinking Thin Era,Real World/Road Rules Challenge: Fresh Meat,Era II,
s40_battle_of_the_eras,Nehemiah Clark,,Eliminated in The Era of the Purge,w:c:mtvrealworld:The Real World: Austin,Era II,
s40_battle_of_the_eras,Laurel Stucky,,Eliminated in The Era of the Purge,,Era II,
s40_battle_of_the_eras,Ryan Kehoe,,Eliminated in A New Era,Real World/Road Rules Challenge: Fresh Meat,Era II,
s40_battle_of_the_eras,Emily Schromm,,Eliminated in An Era Tradition,w:c:mtvrealworld:The Real World: D.C.,Era II,
s40_battle_of_the_eras,Brandon Nelson,,"Eliminated in The Era Invitational, Part 2",,Era II,
s40_battle_of_the_eras,KellyAnne Judd,,"Eliminated in The Era Invitational, Part 2",w:c:mtvrealworld:The Real World: Sydney,Era II,
s40_battle_of_the_eras,Jordan Wiseley,,Winners in infobox,w:c:mtvrealworld:The Real World: Portland,Era III,
s40_battle_of_the_eras,Tori Deal,,"Fourth Place in The End of an Era, Part 2",,Era III,
s40_battle_of_the_eras,Cory Wharton,,Eliminated in Must Win Era,w:c:mtvrealworld:Real World: Ex-Plosion,Era III,
s40_battle_of_the_eras,Nia Moore,,Eliminated in Payback Era,w:c:mtvrealworld:The Real World: Portland,Era III,
s40_battle_of_the_eras,Devin Walker,,Eliminated in An Era of One,,Era III,
s40_battle_of_the_eras,Averey Tressler,,Eliminated in The Era of the Gladiator,w:c:mtvrealworld:The Real World: Portland,Era III,
s40_battle_of_the_eras,Jonna Mannion,,Eliminated in My Real Friends Era,w:c:mtvrealworld:The Real World: Cancun,Era III,
s40_battle_of_the_eras,Tony Raines,,Eliminated in A Fatal Era,w:c:mtvrealworld:Real World: Skeletons,Era III,
s40_battle_of_the_eras,Leroy Garrett,,"Eliminated in The Era Invitational, Part 2",w:c:mtvrealworld:The Real World: Las Vegas (2011),Era III,
s40_battle_of_the_eras,Amanda Garcia,,"Eliminated in The Era Invitational, Part 2",,Era III,
s40_battle_of_the_eras,Jenny West,,Winners in infobox,,Era IV,
s40_battle_of_the_eras,Michele Fitzgerald,,"Third Place in The End of an Era, Part 2",,Era IV,
s40_battle_of_the_eras,Kyland Young,,"Fourth Place in The End of an Era, Part 2",,Era IV,
s40_battle_of_the_eras,Josh Martinez,,Eliminated in Swinging Era,,Era IV,
s40_battle_of_the_eras,Olivia Kaiser,,Eliminated in Best Friends 4Era,,Era IV,
s40_battle_of_the_eras,Theo Campbell,,Eliminated in The Era of the Purge,,Era IV,
s40_battle_of_the_eras,Kaycee Clark,,Eliminated in An Era of One,,Era IV,
s40_battle_of_the_eras,Horacio Gutiérrez Jr.,,Eliminated in My Trivia Era,,Era IV,
s40_battle_of_the_eras,Nurys Mateo,,"Eliminated in The Era Invitational, Part 2",,Era IV,
s40_battle_of_the_eras,Paulie Calafiore,,"Eliminated in The Era Invitational, Part 2",,Era IV,
