episode,challenge,format,role,winner
1/2,Light It Up,individual,prize,Tori Deal
1/2,Light It Up,individual,safety,Nia Moore
1/2,,individual,prize,Leroy Garrett
1/2,,individual,safety,Tony Raines
1/2,,individual,prize,CT Tamburello
1/2,,individual,safety,Mark Long
1/2,,individual,prize,Katie Cooley
1/2,,individual,safety,Aneesa Ferreira
1/2,,individual,prize,Horacio Gutiérrez Jr.
1/2,,individual,safety,Theo Campbell
1/2,,individual,prize,Nurys Mateo
1/2,,individual,safety,Olivia Kaiser
1/2,,individual,prize,Laurel Stucky
1/2,,individual,safety,KellyAnne Judd
1/2,,individual,prize,Ryan Kehoe
1/2,,individual,safety,Brandon Nelson
3,Gladieater,individual,prize,Tony Raines
3,Gladieater,individual,safety,Darrell Taylor
3,,individual,prize,Jodi Weatherton
3,,individual,safety,Aviv Melmed
4,Cradled Cranium,individual,prize,Laurel Stucky
4,Cradled Cranium,individual,safety,Aneesa Ferreira
4,,individual,prize,Derrick Kosinski
4,,individual,safety,Jordan Wiseley
5,Fast Pass,individual,prize,Olivia Kaiser
5,Fast Pass,individual,safety,Tina Barta
5,,individual,prize,CT Tamburello
5,,individual,safety,Nehemiah Clark
6,Cloud Catcher,individual,prize,Josh Martinez
6,Cloud Catcher,individual,safety,Brad Fiorenza
6,,individual,prize,Rachel Robinson
6,,individual,safety,Laurel Stucky
7,Leap of Faith,individual,prize,Nia Moore
7,Leap of Faith,individual,safety,Tina Barta
7,,individual,prize,Darrell Taylor
7,,individual,safety,Nehemiah Clark
8,Battle for Honor,individual,prize,Jenny West
8,Battle for Honor,individual,safety,Rachel Robinson
8,,individual,prize,Derrick Kosinski
8,,individual,safety,Derek Chavez
9,Bottoms Out,individual,prize,Rachel Robinson
9,Bottoms Out,individual,safety,Ryan Kehoe
10,Fire Away,individual,prize,Jordan Wiseley
10,Fire Away,individual,safety,Johnny Bananas
10,,individual,prize,Aviv Melmed
10,,individual,safety,Jenny West
11,Building Bridges,individual,prize,Jenny West
11,Building Bridges,individual,safety,Michele Fitzgerald
12,,individual,prize,Kyland Young
12,,individual,safety,Johnny Bananas
13,40 Yard Dash,individual,prize,Cara Maria Sorbello
13,40 Yard Dash,individual,safety,Cara Maria Sorbello
14,'Nother Trucker,individual,prize,Derek Chavez
14,'Nother Trucker,individual,safety,Johnny Bananas
15,Tight Quarters,individual,prize,Tori Deal
15,Tight Quarters,individual,safety,Aviv Melmed
16,Fire Plunge,individual,prize,Jordan Wiseley
16,Fire Plunge,individual,safety,Cory Wharton
17,Fortress Bricks,individual,prize,Jenny West
17,Fortress Bricks,individual,safety,Cara Maria Sorbello
