season_id,episode,gender,game,winner,loser
s40_battle_of_the_eras,1/2,,Balls In,Nia Moore,Amanda Garcia
s40_battle_of_the_eras,50px|link=Cory WhartonCory,,,Tony Raines,Leroy Garrett
s40_battle_of_the_eras,Era I,,Pole Wrestle,Derrick Kosinski,Mark Long
s40_battle_of_the_eras,50px|link=Rachel RobinsonRachel,,,Aneesa Ferreira,Katie Cooley
s40_battle_of_the_eras,Era IV,,Hall Brawl,Theo Campbell,Paulie Calafiore
s40_battle_of_the_eras,"50px|link=Michele Fitzgerald<font color=""#000"">Michele",,,Olivia Kaiser,Nurys Mateo
s40_battle_of_the_eras,Era II,,Take Shelter,Cara Maria Sorbello,KellyAnne Judd
s40_battle_of_the_eras,"50px|link=Johnny Bananas<font color=""white"">Bananas",,,Ryan Kehoe,Brandon Nelson
s40_battle_of_the_eras,3,,One Step at a Time,Darrell Taylor,Tony Raines
s40_battle_of_the_eras,4,,Pick It Up,Jenny West,Aneesa Ferreira
s40_battle_of_the_eras,"50px|link=Johnny Bananas<font color=""white"">Bananas",,,Derrick Kosinski,Horacio Gutiérrez Jr.
s40_battle_of_the_eras,5,,Getting Hammered,Tina Barta,Emily Schromm
s40_battle_of_the_eras,"50px|link=Kyland Young<font color=""#000"">Kyland",,,Nehemiah Clark,CT Tamburello
s40_battle_of_the_eras,6,,To the Point,Cory Wharton,Brad Fiorenza
s40_battle_of_the_eras,"50px|link=Jenny West<font color=""#000"">Jenny",,,Rachel Robinson,Jonna Mannion
s40_battle_of_the_eras,7,,Boxster-phobia,Michele Fitzgerald,Tina Barta
s40_battle_of_the_eras,50px|link=Jordan WiseleyJordan,,,Kyland Young,Darrell Taylor
s40_battle_of_the_eras,8,,Fate of the Gladiators,Rachel Robinson,Averey Tressler
s40_battle_of_the_eras,50px|link=Theo CampbellTheo,,,Cory Wharton,Derrick Kosinski
s40_battle_of_the_eras,9,,Cable Connection Showdown,Kyland Young,Devin Walker
s40_battle_of_the_eras,10,M,Killer Quads,Johnny Bananas,Ryan Kehoe
s40_battle_of_the_eras,50px|link=Tori DealTori,,Killer Quads,Johnny Bananas,Ryan Kehoe
s40_battle_of_the_eras,11,F,Forty-fication,Michele Fitzgerald,Nia Moore
s40_battle_of_the_eras,50px|link=Kyland YoungKyland,,Forty-fication,Michele Fitzgerald,Nia Moore
s40_battle_of_the_eras,50px|link=Kyland YoungKyland,M,Cramping Out,Johnny Bananas,Theo Campbell
s40_battle_of_the_eras,50px|link=Tori DealTori,,Cramping Out,Johnny Bananas,Theo Campbell
s40_battle_of_the_eras,13,F,Stranded,Michele Fitzgerald,Olivia Kaiser
s40_battle_of_the_eras,50px|link=Jordan WiseleyJordan,,Stranded,Michele Fitzgerald,Olivia Kaiser
s40_battle_of_the_eras,14,M,Coming from Behind,Cory Wharton,Josh Martinez
s40_battle_of_the_eras,50px|link=Rachel RobinsonRachel,,Coming from Behind,Cory Wharton,Josh Martinez
s40_battle_of_the_eras,15,F,Iron Triangle,Jenny West,Aviv Melmed
s40_battle_of_the_eras,50px|link=Kyland YoungKyland,,Iron Triangle,Jenny West,Aviv Melmed
s40_battle_of_the_eras,16,M,Closing Time,Derek Chavez,Cory Wharton
s40_battle_of_the_eras,50px|link=Tori DealTori,,Closing Time,Derek Chavez,Cory Wharton
s40_battle_of_the_eras,17,F,The Final Elimination,Tori Deal,Cara Maria Sorbello
s40_battle_of_the_eras,50px|link=Jordan WiseleyJordan,,The Final Elimination,Tori Deal,Cara Maria Sorbello
