season_id,player,gender,finish,origin,team,pair_id
s41_vets_and_new_threats,Olivia Kaiser,,Winner <small>''in Finale Part II,,Vets,
s41_vets_and_new_threats,Turbo Çamkıran,,Runner-Up <small>''in Finale Part II,,Vets,
s41_vets_and_new_threats,Michaela Bradshaw,,Third Place <small>''in Finale Part II,,Vets,
s41_vets_and_new_threats,Theo Campbell,,Fourth Place <small>''in Finale Part II,,Vets,
s41_vets_and_new_threats,Nany González,,Eliminated <small>''in Ten Toes Down,w:c:mtvrealworld:The Real World: Las Vegas (2011),Vets,
s41_vets_and_new_threats,Aviv Melmed,,Eliminated <small>''in Am I Being Bamboozled?,Real World/Road Rules Challenge: Fresh Meat,Vets,
s41_vets_and_new_threats,Aneesa Ferreira,,Eliminated <small>''in The Best Birthday Present,w:c:mtvrealworld:The Real World: Chicago,Vets,
s41_vets_and_new_threats,Ashley Mitchell,,Eliminated <small>''in We Have to Boogie!,w:c:mtvrealworld:Real World: Ex-Plosion,Vets,
s41_vets_and_new_threats,Leroy Garrett,,Eliminated in They Are Like Cockroaches,w:c:mtvrealworld:The Real World: Las Vegas (2011),Vets,
s41_vets_and_new_threats,Derrick Kosinski,,Eliminated in Punch You in Your Face,w:c:roadrules:Road Rules: X-Treme,Vets,
s41_vets_and_new_threats,Jonna Mannion,,Jonna Mannion The Real World: Cancun 13th season / Replacement,,Vets,
s41_vets_and_new_threats,CT Tamburello,,Eliminated in A War Brewing,w:c:mtvrealworld:The Real World: Paris,Vets,
s41_vets_and_new_threats,Derek Chavez,,Eliminated in Justice for Leka,w:c:mtvrealworld:The Real World: Cancun,Vets,
s41_vets_and_new_threats,Cara Maria Sorbello,,Quit in Pride Comes Before the Fall,,Vets,
s41_vets_and_new_threats,Johnny Bananas,,Eliminated in Wish I'd Been Practicing,w:c:mtvrealworld:The Real World: Key West,Vets,
s41_vets_and_new_threats,Nia Moore,,Medically Disqualified in I Am The Challenge,w:c:mtvrealworld:The Real World: Portland,Vets,
s41_vets_and_new_threats,Rogan O'Connor,,Eliminated in Welcome to The Challenge,,Vets,
s41_vets_and_new_threats,Yeremi Hykel,,Winner <small>'' in Finale Part II,,New Threats,
s41_vets_and_new_threats,Sydney Segal,,Runner-Up <small>''in Finale Part II,,New Threats,
s41_vets_and_new_threats,Cedric Hodges,,Third Place <small>''in Finale Part II,,New Threats,
s41_vets_and_new_threats,Adrienne Naylor,,Fourth Place <small>''in Finale Part II,,New Threats,
s41_vets_and_new_threats,Justin Hinsley,,Eliminated <small>''in Ten Toes Down,,New Threats,
s41_vets_and_new_threats,Will Gagnon,,Eliminated <small>''in Am I Being Bamboozled?,,New Threats,
s41_vets_and_new_threats,Jake Cornish,,Eliminated <small>''in The Best Birthday Present,,New Threats,
s41_vets_and_new_threats,Leonardo Dionicio,,Eliminated <small>''in We Have to Boogie!,,New Threats,
s41_vets_and_new_threats,America Lopez,,Eliminated in They Are Like Cockroaches,,New Threats,
s41_vets_and_new_threats,Dee Valladares,,Eliminated in Punch You in Your Face,,New Threats,
s41_vets_and_new_threats,Gabe Wai,,Eliminated in A King of Kamikaze,,New Threats,
s41_vets_and_new_threats,Tay Wilcoxson,,Eliminated in A War Brewing,,New Threats,
s41_vets_and_new_threats,Izzy Fairthorne,,Eliminated in At Least Someone's Getting Laid!,,New Threats,
s41_vets_and_new_threats,Leka Sodade,,Eliminated in Is He Throwing It?,,New Threats,
s41_vets_and_new_threats,Ben Davis,,Eliminated in Pride Comes Before the Fall,,New Threats,
s41_vets_and_new_threats,Blue Kim,,Eliminated in We Used to Hook Up,,New Threats,
