episode,challenge,format,role,winner
1,Mud Ball Madness,pair,prize,Johnny Bananas
1,Mud Ball Madness,pair,prize,Dee Valladares
1,Mud Ball Madness,pair,safety,Theo Campbell
1,Mud Ball Madness,pair,safety,Izzy Fairthorne
2,Side by Side,pair,prize,Turbo Çamkıran
2,Side by Side,pair,prize,Leka Sodade
2,Side by Side,individual,safety,Adrienne Naylor
3,Water Tower,pair,prize,Olivia Kaiser
3,Water Tower,pair,prize,Justin Hinsley
3,Water Tower,pair,safety,Turbo Çamkıran
3,Water Tower,pair,safety,Izzy Fairthorne
4,Amazed,pair,prize,Michaela Bradshaw
4,Amazed,pair,prize,Ben Davis
4,Amazed,individual,safety,Gabe Wai
5,Dirtballer,pair,prize,Michaela Bradshaw
5,Dirtballer,pair,prize,Jake Cornish
5,Dirtballer,pair,safety,Jonna Mannion
5,Dirtballer,pair,safety,Leonardo Dionicio
6,Runes My Life,pair,prize,Leonardo Dionicio
6,Runes My Life,pair,prize,Sydney Segal
6,Runes My Life,individual,safety,Olivia Kaiser
7,Drive Me Crazy,pair,prize,Nany Gonzalez
7,Drive Me Crazy,pair,prize,Leonardo Dionicio
7,Drive Me Crazy,pair,safety,Ashley Mitchell
7,Drive Me Crazy,pair,safety,Theo Campbell
8,Cyclone,pair,prize,Sydney Segal
8,Cyclone,pair,prize,Yeremi Hykel
8,Cyclone,individual,safety,Theo Campbell
10,Fast Thinking,pair,prize,CT Tamburello
10,Fast Thinking,pair,prize,Tay Wilcoxson
10,Fast Thinking,pair,safety,Theo Campbell
10,Fast Thinking,pair,safety,Adrienne Naylor
11,Band Together,pair,prize,Jonna Mannion
11,Band Together,pair,prize,Gabe Wai
11,Band Together,pair,safety,Nany Gonzalez
11,Band Together,pair,safety,Justin Hinsley
12,Running Man,pair,prize,Derrick Kosinski
12,Running Man,pair,prize,Dee Valladares
12,Running Man,pair,safety,Theo Campbell
12,Running Man,pair,safety,Adrienne Naylor
13,Haystack Heist,pair,prize,Leroy Garrett
13,Haystack Heist,pair,prize,America Lopez
13,Haystack Heist,pair,safety,Theo Campbell
13,Haystack Heist,pair,safety,Adrienne Naylor
14,Rune Race,pair,prize,Ashley Mitchell
14,Rune Race,pair,prize,Leonardo Dionicio
14,Rune Race,pair,safety,Turbo Çamkıran
14,Rune Race,pair,safety,Sydney Segal
15,Dirty Drifter,pair,prize,Theo Campbell
15,Dirty Drifter,pair,prize,Adrienne Naylor
15,Dirty Drifter,pair,safety,Aneesa Ferreira
15,Dirty Drifter,pair,safety,Jake Cornish
16,Dark Mine,pair,prize,Aviv Melmed
16,Dark Mine,pair,prize,Yeremi Hykel
16,Dark Mine,pair,safety,Olivia Kaiser
16,Dark Mine,pair,safety,Will Gagnon
17,Global Exchange,pair,prize,Michaela Bradshaw
17,Global Exchange,pair,prize,Cedric Hodges
17,Global Exchange,pair,safety,Nany Gonzalez
17,Global Exchange,pair,safety,Justin Hinsley
