episode,gender,game,winner,loser
1,M,Inertia,Justin Hinsley,Rogan O'Connor
2,F,Laser Focus,Tay Wilcoxson,Blue Kim
4,M,Hold 'Em Back,Gabe Wai,Johnny Bananas
5,M,Him Collider,Derek Chavez,Ben Davis
6,F,Out of Time,Olivia Kaiser,Leka Sodade
7,F,Pick It Up Again,Tay Wilcoxson,Izzy Fairthorne
8,M,Pole Wrestle,CT Tamburello,Derek Chavez
10,,Busting Balls,Theo Campbell,CT Tamburello
10,,Busting Balls,Theo Campbell,Tay Wilcoxson
10,,Busting Balls,Adrienne Naylor,CT Tamburello
10,,Busting Balls,Adrienne Naylor,Tay Wilcoxson
11,,Pull It Together,Aviv Melmed,Jonna Mannion
11,,Pull It Together,Aviv Melmed,Gabe Wai
11,,Pull It Together,Yeremi Hykel,Jonna Mannion
11,,Pull It Together,Yeremi Hykel,Gabe Wai
12,,Bad Dreams,Theo Campbell,Derrick Kosinski
12,,Bad Dreams,Theo Campbell,Dee Valladares
12,,Bad Dreams,Adrienne Naylor,Derrick Kosinski
12,,Bad Dreams,Adrienne Naylor,Dee Valladares
16,,Tight Quarters,Michaela Bradshaw,Aviv Melmed
16,,Tight Quarters,Michaela Bradshaw,Will Gagnon
16,,Tight Quarters,Cedric Hodges,Aviv Melmed
16,,Tight Quarters,Cedric Hodges,Will Gagnon
17,,Balls In 2.0,Michaela Bradshaw,Nany Gonzalez
17,,Balls In 2.0,Michaela Bradshaw,Justin Hinsley
17,,Balls In 2.0,Cedric Hodges,Nany Gonzalez
17,,Balls In 2.0,Cedric Hodges,Justin Hinsley
